	Cycle	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	D9	E3	E4	E5	E6	E7	E8	E9	F2	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
	1	254.594520696848	216.674389016695	221.024430552999	161.26129964372	153.894060313339	211.217217284937	186.197283178803	239.309728337464	176.868448272027	153.367814268069	200.960353553091	274.285691016519	292.294198500818	196.613062822812	182.236870566103	164.269857095183	166.715937568893	194.628787708558	217.134865557273	259.307482540648	181.061350966957	272.764855832767	233.777911888143	277.924934747817	248.758903316796	113.339030332774	160.221916099481	237.587523075777	266.932982734053	197.875999929734	356.571902385689	212.109241176492	412.728645365875	267.565471741209	343.764253951115	208.934778071303	194.04859526124	205.365994789147	259.49899156045	304.756866392015	319.143087089833	291.716219538534	252.756602815582	224.930607416612	260.205213188261	399.698573314265	224.391518270004	277.108089555899	121.345397528184	317.193106876748	258.353105573883	160.880618139172	253.498542229378	382.699010445127	253.052111998609	448.220017606663	379.42670405541	3.62924594290416	98.8339049593505	129.030353938383	179.590914429878	287.218463332745	194.812479307249	226.915696926836	240.887638008102	302.527652810548
	2	190.001471962767	161.863704321037	166.254634706198	121.185393975671	108.237839426001	172.521867398903	139.792897513258	191.466200409388	167.667626780358	125.993029666564	149.358648488977	208.026158551866	178.88899943358	137.146015507862	117.526026790527	121.62570821875	148.400105992638	156.053397787552	196.982589441906	193.983043129479	123.505261356078	204.798124853572	155.396019325271	208.649306218203	158.304302282929	143.011544665527	135.462509888876	206.794646606616	196.714429879797	118.456686210535	281.340523796469	153.00926741938	331.710678701003	153.027673499761	266.603318505458	156.109042688911	123.677661319337	159.437469875801	186.009441072816	228.798810734895	243.537494223272	239.981604119479	176.565313244313	151.013632889235	179.678764440003	307.27116077049	131.417074327684	176.733583909823	114.138510650685	279.989971522672	215.867753162897	120.723839196265	177.839282715407	294.89957149261	167.898527265814	367.07781492039	280.562634336568	-43.0319732228963	43.0994048301673	91.7820210772479	110.954835495199	234.209433802322	178.530586105369	178.624940772012	183.306969488199	227.364640033806
	3	157.725211921736	129.905446020403	139.201173374958	104.000112515019	85.8279349403419	159.281346116823	132.185492714783	142.683503450738	132.31558629	78.0023028614523	102.850975814985	154.865936853699	121.892973396258	108.719953758934	89.3377203288874	99.139262073294	125.714636711693	110.753830943054	145.803192260475	152.115231823282	88.6845093887823	151.74500304382	111.604884631436	150.302553419317	119.594676989274	121.98083333947	97.9978271992131	150.179350046054	142.526527164267	77.5823060456169	208.167101293904	107.758032520058	260.426415414291	106.912927043631	197.928640869513	125.374424684054	83.8736204913903	124.847705061053	148.569285798196	180.12261956844	199.577013863515	204.315917636721	117.520802429999	98.2792833687618	111.344334395466	242.060344230942	99.4010987269485	123.974646908651	78.4939905478068	242.833533723513	178.542431707428	70.1918367691433	109.929630355177	241.440494330112	107.753189903923	295.536777887032	233.151850307654	-42.1301985120954	25.2408174125512	66.8040899310627	58.0088166087626	179.629205964721	155.013339634532	126.149138509789	134.711208223428	188.421473590931
	4	141.332583269781	103.565472122466	112.797216484428	80.5638268411958	70.7979252195073	141.853182098377	120.443697756569	103.594141766381	106.184898703903	53.5853997308823	72.7661889564897	126.462964194941	90.6132584772713	82.5994617948081	70.0401228648025	84.9921657442892	73.8400472040876	67.8927966349247	99.638591220224	105.942958123241	61.3473299683719	131.242627022939	73.6823450424436	114.045685100453	78.4579971011844	73.8388353203991	56.0188145679404	98.6041200488817	104.315080744629	62.5313521912667	171.593212814074	88.6442665348723	211.940401833799	74.1201468380759	137.894116092662	117.266362959075	78.8427043161955	113.910040688558	112.055856914455	159.343642139193	165.205369149242	166.1064449803	89.4762697317656	78.6482610025178	83.395629976405	184.018449263507	53.9178410113791	82.5131707596793	55.2518269485627	200.202376149657	145.298053229827	48.3853118867546	79.8153094456529	191.418594775198	76.8987262620767	234.189139021998	184.313955488063	-52.8805965184674	7.191676204332	55.1471061370321	43.9089211335495	144.692396539223	118.660283592822	92.9610000788143	98.7137980999396	154.309494049122
	5	108.493471419728	90.814540292783	83.7098968514911	47.3471103994652	51.8491666555865	116.404965730773	94.4106020214022	47.0080707895604	62.1223387484024	25.8670719349066	36.55478813427	88.9871349883924	70.4527828551581	60.5391426357382	46.7191767154873	58.6714664286392	40.0122974503583	46.3228177686851	58.9789349202238	75.645899441437	32.5111884883454	97.8037740355339	50.0053739262221	69.9647384085556	49.8328222563559	49.5910517869288	21.832386479522	60.8695323277798	67.6781217934686	41.4571751862513	132.007627833726	62.6005245337601	167.540876870056	39.8268889834571	88.4136473748322	96.9978216281143	62.742999732819	89.5505841114527	89.8012234726484	129.467051088211	120.447904010532	117.260296227743	60.0374656030672	47.1200819094101	62.4112821264662	155.707531845783	31.6064530094363	53.7211254930244	43.5080712019371	153.834790900853	120.950718686891	41.8111278187662	47.5176210297413	153.683774409476	40.3644970445075	180.35956470368	139.115832475455	-45.6265300143705	-1.02778458987814	45.0670583799129	26.928419136595	131.310232059356	107.883266383193	72.2712823345983	79.3160270245735	138.413086973793
	6	85.7645674267169	64.7096662378763	70.2388412482342	35.7531760340016	41.8384815597246	99.7899502163164	88.4501247802364	18.5107883227884	21.1883971744855	12.8045701278697	16.9976463395506	61.8307710891058	36.6471605840907	37.256447788448	21.859773694403	34.2438397570359	20.5374625513332	22.2827229865825	27.8231764291977	53.9854664322729	11.9551057902599	71.9762339926592	25.7767240776075	48.6772448430993	22.6280616190697	25.0281626291217	-2.8247792605016	29.4819328170224	35.0638812384595	28.7562228675906	93.250292621371	42.8535294437552	134.589539217781	20.7289413600611	53.7587519482167	81.2909951559868	51.1113563242643	69.5416338245459	70.3342504690627	104.283875389206	89.6092298787553	92.4694864377889	35.3174413657689	19.7975385640439	32.6469014002432	122.060305557699	12.9621920721547	32.5130775130638	53.3617329921608	106.942842577493	93.1064921611742	30.5318216882979	3.74442964452464	119.97216021951	15.4369835097823	147.743037594071	109.177894381434	-37.9119995638721	-16.1493267840578	23.4056594793683	13.7725970164711	105.547245664719	79.243760066367	48.6246446294917	51.8216022984589	97.3711535203893
	7	75.1379695323385	56.1502367775956	51.2441096860839	16.7952972589574	18.0637250903092	79.2171361593428	72.1045064035488	-4.71702157671643	0.495770215048651	0.0297528315422824	-2.69320743316075	38.6935913239995	19.1000581593798	21.5430426495632	0.00791194087651093	25.284617434143	8.96076617395011	7.2567896321998	6.72045912079011	27.6037936504063	-10.5876820923659	50.0245481162456	-4.04138658677948	29.4373946066116	0.0479330362641122	10.7690088714571	0.381823979470937	2.60086729409068	7.90201714409977	7.75901922197954	69.8169332007437	31.5557866933559	102.872201695778	-0.974265864726476	18.0780762895502	61.9140024157969	36.5075947193636	64.6201629351626	65.2836534255193	89.2460204472782	74.2146546091017	70.5418260235674	17.3373905054705	12.54499267746	24.7914981702579	104.814055422672	-8.95805659680809	16.5475635509392	46.728434947504	78.7401798542032	65.7588018228935	24.8624467947066	-6.8939242635106	83.2611469189578	-11.7543394109225	130.727133112262	95.6947140231932	-43.6323465751566	-18.8505767925026	19.3691630339199	3.3495569509887	83.8832488903163	64.4433685307249	32.7971855021924	40.6619805366909	79.6582153479303
	8	55.4986552146893	42.297398591757	37.275090827402	-4.97134502848894	7.14762755014544	62.1830727985753	58.7052157794424	-32.0426469367912	-19.3406522937785	-10.0201166839306	-23.5102235791956	11.0261542042063	4.59309807249156	-2.43417616400257	-10.5087118250176	3.4886241882914	-7.44936064146532	-6.5940713383734	-21.2129308439089	0.924129496915157	-14.4100188309812	28.1158719826344	-16.0175062257294	19.7835000518535	-13.4980167498497	3.87459349814344	4.35552302230099	-6.18832915619078	-9.96223200283021	-12.3277960459873	46.74279607887	13.7692437977921	77.4420200297009	-18.9000503639809	-9.68695250286783	58.8144401205864	27.9407476319593	52.4596180216113	54.6376370281896	72.6077750867862	64.449501686483	59.0811741593789	-0.716472465950574	-3.52331750172743	-0.265678167350416	75.3881990895025	-28.0207725249056	6.94879132035749	46.2787373690408	70.5062184418339	51.574866563541	15.2933179481615	-29.3447747699602	66.8223386187892	-15.3609822016906	103.740102869711	66.494785903973	-31.775140123611	-29.4206076225555	13.7333132358517	-7.77929384562049	69.9906893385933	42.9704883096201	14.0160778274894	10.7642261228739	51.9736784279294
	9	52.6560379068587	34.1740318674811	38.2349948155279	-8.84958161411487	-6.95065062923095	52.9554793903044	49.3015023119597	-45.1865785805667	-20.564944066281	-15.4459410070158	-21.8406603362864	-2.99918274899392	-7.52389187573681	-7.65634338477412	-26.430041378042	-7.33482932111201	-13.898528988917	-17.9372630221587	-30.6937148410107	3.26489191428391	-22.5174782493068	15.2222959257369	-23.9079782303907	3.33282904202133	-28.0185565585298	-9.09475002613181	-1.89966936823839	-24.1688184648619	-24.2403494549271	-17.391095321489	29.7531134852452	3.45980849058651	63.917968455019	-24.7757562552952	-16.4364645506303	50.0350595878499	26.0895730679804	39.2337309112399	43.6209578884236	65.9314453521783	57.9290797239946	45.3307679317495	-12.8712940980768	-16.8075638371229	-12.3909728451181	55.1871053718442	-30.9970647944556	-3.13983280139473	33.6935618051057	50.0216823327137	51.8989366233636	10.0205298642795	-25.692618573923	56.3636659424546	-11.4631600239672	92.6541674911705	45.4037064920176	-16.1878468607101	-12.2321166116099	-4.69459466819899	-15.4666188226311	54.4130288600509	45.4035183419674	4.40676157314465	5.33792625169735	47.1176749149263
	10	41.3480055674772	26.0233494853683	24.7893037516924	-16.251050281151	-15.6340874219613	39.1003208766269	38.2008036013331	-60.8937920446115	-38.5220273825653	-18.6231013545657	-44.3947200194443	-18.2995755876709	-23.0846058298848	-14.2335623461204	-24.7903296192908	-11.0996241775865	-21.7003101789214	-20.8813777005689	-44.3415999971203	-14.5835434877599	-27.4714425262337	14.3027335936749	-32.6120666149209	-11.7901058850757	-37.1769351778221	-17.6740771122677	-8.49630748174422	-41.7800586131234	-36.4541836218878	-28.3438455385622	7.26810587027285	-7.48130140410831	56.2823922626985	-28.7710717722712	-41.0733424654054	34.1038544977746	34.937356343361	42.5957648021913	40.3604622356479	42.6657312774341	55.587953410618	26.6908589512368	-20.7141440287378	-28.3172679723011	-22.3202837446061	46.737597879488	-37.5097591947324	-20.1539517441179	29.7186718151797	43.9685935945809	39.3939153121191	2.53907573240849	-30.4536849917858	41.263770331796	-28.4905950884522	69.0942442934493	32.7638965030919	-17.1211610137498	6.83530143486041	-5.20635770858553	-21.3008690831421	49.4835971420252	31.5251984085935	0.0952196004309371	-9.36642947169094	29.8945073160712
