	Cycle	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
	1	44.3089464505256	94.3117685370435	112.282459397647	126.466940102754	190.615740510371	215.7863783212	237.409512789955	85.9327299519564	219.31079755681	74.3505848235891	114.715660742552	108.165503535418	80.0081835231722	68.1297023901388	148.292708311993	133.822051945788	174.021518648848	213.338723165121	187.757669128631	274.806177057005	179.157559334993	190.776370503785	130.479194724096	63.86626617825	123.152590446993	115.393755781103	209.29203033173	138.294642608661	212.777302053499	200.678250717042	198.537787891154	225.656821672595	195.898095026582	189.859767930022	162.280575769473	138.13927916938	141.265676352385	133.272555662374	205.842325601729	211.005065427054	310.307846679056	292.025874344772	330.979524299217	313.678987020387	310.081769891041	214.721107907509	140.231593257554	123.064234237561	147.449833674696	167.270641495359	267.211292905246	193.112393293783	249.236373527654	270.82528847608	328.082830222158	202.102241198111	245.751262432059	175.149307786682	176.469663461035	117.789971127948	209.203198561898	476.224381177471	179.131477936115	178.829720030769	253.699472136477	241.395040596277	265.915697918123	220.956215157177	100.852977634165	77.5041200263713	194.891489897877	228.806605878828	276.214273212144	267.341895235171	266.615583756753	226.569030260878	232.409557573402	63.5275289117817	188.480989186679	75.1823640582443	126.714685542289	160.435720594158	111.41300077327	150.202867946297	190.730608618549	181.531986387007
	2	82.2739193977368	90.4884763007958	108.967880354487	116.775116806332	177.832256382011	195.860278381881	226.922196804101	63.3538455881226	214.090085125906	80.9656809262688	90.9639584387623	84.0477096851682	96.4432316480052	100.306729552984	133.700104425046	133.653852272638	152.787857095749	190.620656669536	162.672167770975	237.29109126402	146.478515356011	165.694609734425	126.583266629211	86.3146023024883	134.334638515932	126.807711576477	177.158580725314	96.7724093414345	184.684126289075	173.015128832943	157.010427671791	180.424020523819	150.926642240602	153.780791881079	141.675076838844	112.213332986084	127.879383494906	134.373707344843	168.585576551412	185.902622496778	263.794883591287	255.615932863579	263.878667856825	264.891163296444	262.714469950586	177.094997464206	118.514370585553	109.493694501844	121.478743303458	161.064525402069	210.693569743466	155.85758331197	191.661350248399	213.594893531981	257.158599433053	111.605094311313	176.512780166383	130.760610989234	119.018304317456	58.4672502973235	182.847524316539	390.355249210375	131.372367914617	138.355307663336	196.22137575086	170.930681742151	202.762421451935	149.027493235368	52.6130667119869	28.0198380518723	107.846123306494	149.489037290606	194.79041156745	190.068410520458	186.859559097058	155.463275363294	171.970426213193	22.7887138456308	159.390508276199	33.7812134094374	73.8624349200909	123.943934949361	70.721230502475	95.9434139325076	157.462840792657	98.4188186026404
	3	63.0072235834514	58.549556364087	94.1933983191984	79.8754213169077	147.107249349165	145.056247879597	181.102063077539	51.7631595996882	164.25849737442	63.8293196805607	53.7509834017319	47.7856485652574	88.1020002133191	94.3393959685618	109.340188433765	88.2957849573913	93.9092953358904	123.763387026806	111.3894662935	193.177300857508	90.7967362456729	148.31487549105	105.875518364157	69.7898336988619	123.633426737959	112.183013048932	144.96072288947	53.0824612319238	121.641029912155	143.341359300149	104.716766977979	129.867565296285	97.1751263554506	119.385123037766	114.537706856247	98.0106693221924	113.638003092869	123.644247189923	140.845874895158	145.328767614425	206.806338979359	183.584395394524	196.185611328017	200.777273159463	216.240756890103	152.705256179616	109.166252950258	94.5037065794249	98.7791724930994	144.658929127145	173.472380672672	91.8265724706525	135.454030791243	141.57596302957	204.321204270906	72.2120954140109	106.512350547324	84.1256643898087	56.6115607469101	31.1126048777824	164.719704423424	316.631789113396	83.8766329098307	104.650279783177	132.130905582682	136.44345420633	158.628616874265	97.4596338270876	74.9987568825045	16.4565017944933	64.9384374148422	83.8541373827302	134.581021642364	125.847869059919	126.386886069748	110.0293273396	129.856660072002	18.5528725917075	135.241707223477	10.0054726414592	23.0729764225407	77.8823787631072	63.651118767566	61.479009228794	115.322828558267	60.5096181020917
	4	37.0487375490957	42.0008894398488	55.886973839486	53.5678702190426	153.104208677333	114.163863009266	156.559821256515	38.0291962526644	140.253921988352	23.8465639335091	30.2990491641949	27.0709517712958	70.9382999712407	79.1948219000169	78.8541800165804	58.5768087569295	69.3742130545543	83.4168061576602	76.6131403848185	140.385782862129	68.1697604143264	99.201812534684	62.0331110703519	30.8796657738249	92.3572144756854	81.7960922954908	114.022777857363	43.9726082655252	84.7526270084882	75.0470619390389	55.5238610943261	93.9132316596879	54.1737916358115	65.2322197763942	69.5620297321921	59.3203906707759	75.0642222376528	93.6960775548705	102.168620845564	96.7347240414156	128.547487630722	132.766229615725	158.210856498479	155.876880960869	147.985145949854	92.7327014762132	66.0361992353073	67.116692578601	53.8246577356977	102.067227363941	107.002372582163	59.7079187314303	101.182053024701	94.2278202979587	128.964843061662	49.8264632451428	78.7940747813045	45.5449393732515	31.0200038074227	18.8572463587707	113.242254838529	235.137822826678	35.4324636371639	37.1488380573928	87.479269195459	76.0843328064666	98.2077399052978	71.9283562049623	69.5278583315476	14.8291026636398	52.8125815787907	31.505813717099	86.095407731751	74.5724008821171	74.4039396915323	57.61374021349	88.5150133044735	15.2750640414297	120.213426501939	17.8534431967355	9.1386225132992	42.8201766695665	43.1723793290421	37.1603374974165	58.2362647604668	46.2576820723034
	5	42.8574708659116	26.9739421972081	17.7766813767948	34.9994636899228	125.175575348191	93.9836248886686	131.741485366569	35.110325535954	108.097165776534	14.1732298586276	19.108744794783	12.4416914793683	21.6611622750215	54.2564689051032	32.9596618493051	37.8602209243027	49.5948960546812	56.3699284885588	45.6077815787476	104.588420353403	47.9996822324101	19.1198127472817	22.7746448453527	23.0008776795285	41.2328223648574	48.1858388795845	78.3104555872096	57.6537140467772	58.5885277771176	32.3953085652747	20.1170556874476	56.8247945066705	21.3578302674614	42.6375167384194	25.3729716851258	33.4157206104846	44.7573610949676	65.3622924328101	67.9837823043472	80.657943389665	92.5458299038401	100.242600817108	139.227186272801	132.125534837914	121.696583476491	38.5542630131249	16.6467219611686	33.6421060452658	27.9404179734147	50.4700300127697	66.0173504263339	28.4427710719392	80.2234534931695	64.2806359208253	88.7685370255904	44.1448176271169	57.4505676757271	27.7573203783168	12.4578816831581	20.8895231257047	89.2091389411053	173.989028820904	14.169174282677	18.3589568723974	48.6350163575953	29.0801152162348	55.0298116390049	42.1103775046367	61.4537032500175	-7.77880292748341	34.6397418745983	20.2851036541861	54.4060319250793	34.1382568787776	45.4739139033854	28.4349948136414	50.3790514338261	7.65703149756973	103.395514406841	13.685920550196	8.92546380259682	16.5633254941995	32.4716345577281	10.1583267105725	27.6600723291931	19.8443925152951
	6	16.438529776854	20.8881532428168	9.45359326108701	30.4854252239347	102.951557880727	78.9440853073111	109.276215492928	20.3242272568268	99.1430373524508	8.48431823436022	17.8844472001238	12.8893197949737	13.0926329978947	26.3886566321162	11.4239309051054	30.3430300397768	30.8039134051223	46.6100678919811	27.512064536485	95.2912482768807	40.7533799367948	13.9625347945957	10.6628006892124	10.0235239778222	24.0354024948501	13.9474193900414	45.5057884904318	52.3563494202253	36.4086411261478	15.5349515982853	8.88414938353435	33.1078864828532	7.05111998216216	20.5434550914579	18.0163335086636	29.8733878684516	27.3332273183341	37.8462009365285	26.0598791025623	78.3054195724581	72.1083929288179	76.738154571116	112.030420232171	110.359566598334	110.407795059186	28.0576977373339	23.0955748238293	20.4387554981668	7.97291558654888	33.2204420347625	40.8725367074248	33.87730266976	61.7774945957663	50.8048970684595	66.8708888485289	48.8104729954975	27.0382926867615	21.577366338096	12.2752594204876	11.7774209253585	76.2448291833116	130.416045220995	9.70615412869483	14.8966541580639	31.849266064095	6.5775854614385	36.6960392953924	30.433024206317	54.787259062502	-9.11743543628654	21.1607885947378	21.2637866312789	28.0944050385233	6.06257701268169	18.8452789328076	14.176958310436	28.0705758495578	9.15019704434599	88.5769838162087	7.45510764437768	6.62319474909691	10.9191211606967	29.5544305050435	1.87639147548452	-8.04026697168047	26.0055497767416
	7	-0.358470839005349	13.9731389612207	-8.76751858381976	14.6139264528674	90.7314123165816	49.8403963969577	90.9263421402429	12.4392348184601	83.063912249263	14.6899122594377	10.9414215253764	8.10502407552121	2.5144517513063	8.53593519334754	-3.4204394281569	18.0670613363063	13.4460272328151	19.5389091409925	9.61438601354166	82.9717937724972	23.3851630736344	8.18675230373447	13.6257852020499	0.187470927407958	14.9731708643249	-4.59620355353763	13.1742676097656	53.9854551738545	23.5487593733551	-7.47679395775049	-8.49916995021704	20.549424685586	0.0254958493242157	2.5374743076145	3.58689107075043	13.9999867312799	15.5351434969825	7.29319362425849	1.93261476140378	61.1268346844363	44.39035758094	57.5847023949318	89.0129498406532	80.0242862714995	83.346653138844	8.45038501358522	2.58631229906405	6.26082130180021	-4.13450625762653	6.63865466847165	17.1608194657665	39.9439966346745	57.0010713275315	35.6863165090217	47.694075303908	48.8358809887623	24.2026376233935	10.5215673739121	10.7634377362674	10.8536749413579	60.1528766031424	96.9391238696053	-2.55158410101467	5.15126236153992	12.9075299198648	-5.15916064821977	15.8789809866039	14.312974272596	44.3629608039373	-7.05136630750894	15.9618940968185	4.44485518853617	16.4122640422747	-5.55590678602766	21.4107410554807	-2.09170572143739	9.49556535612737	-1.12139368349563	80.5156640830855	19.6677293544053	9.75040047036964	5.07834164668657	5.05395452403263	-9.65366814422578	-17.2819771998693	12.8184412564806
	8	-11.6587809304701	-8.96139299458446	-22.9245125226225	0.0320733380312959	74.1358915854689	27.6919227579765	73.629580371362	-9.26022216119782	60.1387028289246	7.09693817867173	-5.38534349568999	-4.47145718123102	-10.9665494558631	-22.9579159232562	-12.7167857154864	-2.96156489215264	-6.69603461864244	-0.826178198980415	-7.69108666884767	56.602898370088	5.4926170972094	-17.1574961717797	-13.9689591395654	-9.65913636113601	-2.93161108305867	-13.7139089803059	-16.7242513119882	37.64822886191	-6.12195608261118	-22.6928325955923	-20.7408057387493	2.05224233625177	-8.60108223132374	-9.78913349974027	-4.59588766979414	-0.950474443133317	-8.432112950597	-21.6148808690341	-24.8208491219175	45.501412384453	24.4417964261229	40.8253865686602	72.0440574059685	67.9876561225083	66.5396526502927	-6.17210442745181	-7.22132930013959	3.28432799242091	-14.2406273228216	-2.66881764610116	3.7705385115778	34.8786909309656	37.0455021190246	21.647762433422	52.7707108350714	35.1400745575584	3.33524311515794	4.3566932399599	12.0670357587751	-9.3774547224557	50.8187160606503	63.594969837296	2.39871723082069	-14.4886769707191	-10.7772733191941	-16.8554198927259	5.19754119025492	-0.358292925816386	36.5682499047171	-11.4765462324558	-2.6680429564949	-12.0174975681894	-5.46793692122537	-26.5060553855346	-11.2614676505373	-17.2282433294131	-10.2993958217285	-16.2274169234197	58.7593971508613	5.01492326434891	0.207573759281331	-18.4405096634673	-8.91582378074327	-26.8726489267719	-14.6131306923044	-7.21561015712814
	9	-29.9570693324085	-27.2349832286436	-32.8669671679945	-14.7765100580273	51.7001698867161	13.0699566233043	50.7160456231713	-21.3927410236047	47.1863425605716	-2.11592242505685	-16.0498044511814	-6.088205791164	-18.2482726012513	-35.8041822384166	-27.6431218495882	-9.92908785616237	-26.6855620576525	-16.3984979716115	-32.8347726137545	42.3488349124564	-5.20036984324452	-19.3595936805559	-12.8992472830269	-20.1002130339684	-21.2747435921892	-27.6724680885618	-34.0862612111669	33.9921885062922	-16.052723889241	-31.7467780596171	-20.9079426778626	-17.1312381753087	-30.0478490767573	-19.646911039129	-24.2183898599233	-12.5265982185074	-16.6839919894419	-27.1693234575869	-33.1762535866983	29.1485660382614	10.0361213803499	12.0479287485432	46.0676050708626	35.1524192194975	53.5275002997178	-20.7993908989338	-15.6802208903846	-13.7325535558748	-25.2724362024419	-25.375771983553	-19.2992806326947	14.0891089864399	18.9126301635306	-0.0837286607284113	34.4328066158796	30.9178719143692	-7.9277893556291	2.38144064973676	12.0532294081058	-22.2258573064028	34.5276560013917	32.7305047794771	-10.0845258592799	-20.542126678999	-20.0991218854233	-24.0465490284905	-16.6990194986884	-7.4759597944385	20.291604441607	-1.53881176996038	2.6476708472419	-36.7628593751178	-22.4224358782367	-40.822007203561	-22.1709326560094	-35.5226460201493	-27.7724982949576	-15.3141724716024	39.6289418892775	13.5043137926923	-1.49135471149748	-29.4239861656115	-14.4519403289214	-29.6754082288471	-30.1778822896986	-15.3966560104345
	10	-33.9753281474241	-14.0621217281805	-36.0494157726353	-21.4973147423225	44.7138971034492	-0.32434437801021	45.2367126776917	-22.7308218572543	46.8170316639835	-3.53166091961975	-22.2019829531318	-14.7078251142066	-28.5748120747057	-30.0863071423628	-35.9000194490336	-11.3455645619779	-27.5988711625741	-23.1335701547832	-28.1877315100537	36.879337411151	-8.66001149889598	-11.9631013814624	-10.7887031540495	-19.012271065656	-28.9800643032941	-29.7573741152328	-38.3792885648991	28.7495057003907	-24.3104088322079	-34.8034558723875	-33.4783510953039	-20.3555628512877	-27.3833155029852	-25.7567746788691	-16.3517619304257	-18.0795045141003	-22.6829179787137	-32.1284007470149	-35.285147927535	28.7433241476392	15.3252733660247	14.0330005058186	43.0189573233674	42.3991703268412	39.0072014429479	-25.0507180856375	-18.2321462835416	-13.238989508518	-27.6365291228003	-32.7906702181226	-23.2003079015576	19.8807956053988	38.3116053153226	-1.13613368426195	39.6538200152318	20.8379707623853	-8.76256760128308	-1.15430516011747	10.6096504188308	-21.6092927348163	34.2496062463069	14.5821356635388	-6.51464561395005	-0.500218880546527	-19.5188466586042	-19.6402318217433	-17.6404858943897	-18.1001273532374	20.9486452369165	12.2019008195039	5.64100537616923	-19.3264838392515	-24.6119584475946	-43.5535959088065	-26.7928962051456	-29.1822556415318	-31.4141568665391	-15.08196772051	42.4392005527243	27.0461474474541	-7.55046376368591	-40.6264102251207	-18.090551314921	-17.0959313829699	-25.4979258904195	-21.4446085550035
