	Cycle	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	1	11.3986083162508	16.7236259247516	26.6530828055556	3.90120922051574	14.1928884873505	15.1473981862259	31.032453941933	14.3621377946492	4.52343702334929	4.46515576290994	9.28462388993194	12.8481172453139	14.645813620456	18.3710628191348	28.650881256121	14.0693881793886	16.5421639669985	23.6089248625603	10.0132894808157	4.17205870851512	18.5145722454417	1.22830796269409	11.1503133336651	-4.45339849283801	36.8722949914049	41.3893422177457	53.3731496416467	26.9519769004792	27.5049309027045	8.97422772187019	33.3951076471599	12.7498062494346	23.9888562597148	25.9014087923779	34.0784291496061	4.31754451433608	38.078769510968	33.5484429259591	46.1310203421008	20.29123776097	20.0227483088738	17.7976199600917	40.9658392478832	-3.16963051768198	2.32773761547742	17.2908407493478	24.1821670355057	9.44792123273601	21.8797061656651	44.8601780170575	81.2475174984597	35.4086327189802	50.8733386899467	36.237498287273	26.2740322921418	31.9060631268912	38.8616293211926	32.0802841063978	39.4578979323928	34.5013087852476	36.2893904816883	55.7367034048943	42.3163970694859	20.1961559136225	37.9088455891133	25.4991742912143	44.0154025863185	17.3035693156062	41.5867000245462	50.8994155792616	26.9588415872486	14.5454739350503	21.6873140016378	29.7703664960677	38.7189203525968	34.3292131738144	25.5182399337045	66.4574279277194	27.9161275168126	35.3386193667384	-3.74616429941807	28.7956117113326	-8.06423838373303	22.3229334517046	12.6127509640601	11.6509235610329	11.906075236554	14.1877814585082	14.810496281777	33.1270162448454	-19.433924038412	-9.13040555152475	-5.06436965478133
	2	17.7072413473829	21.7752716884625	23.7727557158955	2.63429441114886	-0.136849826856178	10.8989712402722	28.4545537130643	5.79214939006033	1.77769922779044	0.447173134176865	4.03126154344545	6.31278273671933	22.136517797639	19.1622805766642	21.5080931812272	6.25357787411303	15.8062991178049	11.5572876344468	6.80535441772281	2.10825769475559	18.4604415754247	-0.658065586503653	8.77377956309829	2.92317638704071	28.6809586263062	36.1835732061818	50.5579809758879	18.4705330937286	10.1236405878803	8.57141879839492	17.9422145239291	3.94175731284213	16.9328571823748	14.3470686323794	22.9820652302569	3.98517678668577	32.4153970060706	29.6668566585295	33.3536118249481	1.77237238940688	12.1897691043632	7.75444943242201	22.8467115025296	-6.0286609895802	-7.90762655670551	13.4252225283299	16.1944827902489	-3.77500628814596	17.6284472798288	34.4116400786543	64.6882737795818	21.5802307172012	28.7978779165333	17.3031756956989	7.15362754452053	12.7931051905953	20.2631809556751	18.7727680014314	21.1691164592653	11.0511375717474	23.8840518543666	43.2985037404751	33.6561629189146	12.1236926214797	30.0902881245629	13.1155014809201	39.6788794734794	18.7203265646476	28.8460631172657	33.5244302568763	10.7298953404543	1.81071620756848	11.3345660401501	13.7703806475124	21.8450035114247	16.1123914087893	12.1213307925309	51.3285424817113	13.2097419209467	24.3834048135391	-12.6634292502408	15.6429265945544	-5.69875407988275	18.3957016552959	9.31783962564168	16.5250543510119	10.7892916905621	5.10410547586298	9.4907881544882	21.0738317072264	-16.3363516187865	-14.5197823836838	-17.3810106476335
	3	6.49416406103364	19.8201932518123	18.290701616982	1.2235379192698	6.06779229347057	7.41357605708481	10.5372189781419	7.38449780494557	-2.07212960589641	-3.25442428109818	-0.64424112050574	6.74451650015499	14.1155894108133	11.3054986364109	15.6022661826782	2.72362384290136	3.01675962700574	9.04922394479763	6.56956247286053	8.34065926114408	13.8987173353489	-1.46554113182856	2.86158519901664	6.08089116503697	19.215020486929	26.6145782882827	32.0875221094166	10.2133399675477	7.70217412091142	4.73908556723291	14.8602754275908	11.2501460862868	15.2939476180027	5.77750974852506	21.9570398069914	0.472504272978767	22.2170837071408	20.5795908634	25.7040067413473	-0.774893944818359	6.26256940322492	6.39922941912391	16.3892660276324	-7.3609615904179	-1.82992627074509	4.8144255602474	9.49640823306709	1.3026828211764	15.0992776932503	20.9677425696109	44.5268175210676	11.4059365823614	16.965036851665	5.44160065291771	5.45119090441312	12.7022904624832	9.98534228907647	5.38724232547975	7.46905805969709	2.9290324314029	14.8323095859541	31.4133369092519	23.3415867048543	5.57796943906669	18.7876161465401	2.97958456992365	26.2073059030108	7.4390014770579	12.4524956014902	20.3172108385811	3.91278362900857	-0.0643947762755488	10.5787787919526	8.72033902297608	11.5043223774146	12.8549183402783	8.20212813544822	24.3176743003451	-3.08664836113758	20.8557880883973	-10.6561634312179	15.7158595128403	-9.93362278939549	4.13726363219212	15.4226100942487	8.59476597521461	0.406230721463544	7.20866335872734	10.4818540255937	17.2519844468297	-26.26471914179	-11.7061435849296	-11.2814284780998
	4	-2.47359182515856	5.92872700436828	9.37500206306777	1.7573458949978	5.97476133227929	3.30897498702325	12.2054793812599	4.01875087379949	1.70151500124484	1.77125679642177	3.84242061338136	-2.0265187509699	5.30473577811927	7.94285218032473	4.30340131883531	-1.53145579840475	10.4690826368869	9.77373582433938	2.55979609055976	8.70879616716047	10.9114596531181	0.617637935039056	3.19263733577827	8.75043715091942	14.6247001396587	21.3031148884106	20.4117547318497	5.42581683778189	6.80326311630324	11.3571328157786	8.00342567775851	3.95255234726892	14.2446310460291	-0.309883866981181	14.6202578864686	-1.89874633725231	12.6615590926663	12.4902188987226	8.49564585940198	4.89248332025909	3.79135512821904	2.3480798241626	14.3605437273864	-15.2287820865431	-3.86392944896943	-1.86576260993024	6.46321208070185	2.82822136648338	-1.24732184054346	13.0418664870231	24.1154067956559	8.6297404482375	2.44653760657366	2.12402082414064	0.250871607641784	8.67825645729772	-3.46207481292367	-2.2423329212661	0.563760508666746	1.06268161290291	15.3880313330556	23.4832383551943	12.525331510963	8.78404468956705	7.18172620147016	-2.25350133903612	11.551078278836	7.19875782831696	15.8261547569846	9.68480093399648	-2.94472660569454	-5.25529667827459	6.75811128756368	11.0957166146827	11.4408269472542	8.92697996103652	11.5902853409571	15.0242409650773	-1.11280108668961	18.8512929686294	0.774482597764745	18.7979902038205	-9.31731497366764	7.12405798781765	-3.16241123128384	9.39132437581975	-2.68365140715923	3.11945489626805	9.92098649723175	4.81892777141456	-21.1966745928198	-16.8336370836105	-10.8491713142962
	5	4.68842357644189	-2.955263619775	-2.72055154810596	-0.549181633698026	6.38027934456113	0.518316115077596	0.135748730822797	6.09585391762585	3.80534782137511	1.13041524705886	10.5508539345565	9.49844310535127	1.01670639439089	-0.258238211832577	1.81359265111314	-0.238559803230601	3.88047508323871	7.49961465847809	-0.175298570124141	-3.93664499271017	4.46848331506135	5.72383361363381	4.90348507799581	4.49244715349369	2.26560172306336	4.05591498934973	9.14283175489936	0.900739736968717	0.0163614400753431	6.11626943478313	1.3043855370538	2.70246393624984	9.48739231544096	-1.94055366357679	4.99559980440381	6.39204010248068	5.07829264592283	3.51935682092426	4.98454472606636	2.9088853002022	1.59722088206308	4.72590933004994	11.3322766457431	-9.00494440743114	-6.05598803748217	-1.5515874583225	-0.262295492172143	-1.11421818831741	-1.35926606275416	-0.232468216279813	10.3559161024286	7.5774987869454	-0.01597428576315	2.47338276048686	0.427303647445115	1.04093781697202	6.62148582857481	3.70729520800842	-2.38507189019992	0.918577906443261	11.5009294838715	18.4049362335481	2.94423844929588	1.02733556118619	3.14778006048164	2.58152871752372	5.14974427690686	7.93122439620129	6.71308033506921	6.45359903287408	-7.17288664444777	-11.0103627846306	1.0051874608148	1.02289908511375	5.56836795953404	6.90397727574964	6.86843119755122	4.04831857123099	-0.913158610085247	16.4262955339973	-4.2134373532931	11.7968772697041	-11.0952312475392	-2.15392303584485	-2.51512338050816	7.70438728574663	11.0679635406113	0.515656487491924	5.92830233777204	-0.791964166251091	-15.7332566815621	-9.42098544284136	-7.51048495725354
	6	2.2431831736958	0.190791243491731	2.32650271642387	1.76042490985219	9.08798600620321	4.32900418955978	7.56335353003578	2.98147294749833	3.88686493974183	7.15668702705989	6.62489215080677	1.09648957066747	3.59074378055584	6.516169167111	0.901580293353618	1.10920254273515	11.9403718379181	8.6863033527834	4.32174277688227	4.21484121515095	9.04314325107407	5.32393658507044	5.45881377670185	9.41119482118756	4.35465766293009	-2.62079707877001	10.4037194717071	-0.756245700770705	7.36129966094359	10.1583319366828	6.78051925756654	5.35729342928289	13.737936571908	6.8675052413364	5.32427497623075	5.46896461849383	5.92154294111651	2.15038038893545	-2.83701892840372	8.59212457640933	6.0410791491804	9.94358038434984	16.5727594236778	-7.1966567684558	-5.24869484956162	6.92644470091545	3.66045080733193	9.33925101481509	5.16891979297225	0.467002183911973	11.832205320623	2.51604942929316	1.67599757287189	2.52193863553566	11.4374620702783	6.22077664672224	5.99273182222805	1.28552908627853	-1.30930209903227	0.683306754799105	5.06463657053382	9.26717252693925	3.63195611342962	1.86818731763287	7.75243539522853	7.35339914473479	9.4904340391713	5.03699410162699	11.9031163513491	3.17083558281274	-7.43003668083156	-4.0778809428939	4.33830937010725	7.48834047582022	7.04561885698513	-1.24389073824113	3.48875915010012	-3.08632064226458	-6.33871804974979	10.1903027512885	-1.25930908713099	7.80748932843198	-9.69040848176792	9.65479733710981	9.38738925096004	9.31830309451198	8.88711579818482	8.7723603250879	7.02425149105329	0.578058222294203	-4.55047109267525	0.741910929397818	-5.9466512456811
	7	8.10521686744687	-5.15691271894138	-3.38025425940168	9.05158271145319	0.621845764435875	-0.485050207724726	0.647756623951864	3.54689228854704	8.4233061812356	10.302830961708	4.74919644771217	7.74571387262586	7.07229814423317	1.48379010361123	1.46196003558725	5.54353157149308	8.33807585114937	5.57299453409541	-5.98446313080876	3.47888662012519	2.4424663138243	4.79248347232806	-0.282459403569192	7.09917391764611	3.05109775239043	1.48079825435025	1.96203332113009	-1.66574530782145	1.95477421161013	0.186930984015817	-3.54538420332392	-2.91244598377079	6.15655520471591	5.23786581210106	-0.828763563163193	4.33437667203134	3.67608224108972	0.554231473366599	-3.17940427878875	10.4617019201187	6.00346576809534	4.80349007515542	7.15634296054759	-11.815742302364	-1.19580714639324	7.68828831976043	1.28660072327511	10.3931115960163	0.470085929477136	-3.95988395697168	-1.67669906822539	-0.901295163002033	2.61930570496406	-1.66314204919945	4.12084122937995	-1.83622565615042	2.6947621207737	-2.99048496268597	2.48626585682678	0.855825779057341	0.744916749425101	6.70050119811731	5.02813413118838	7.82250430626391	0.182666201638312	13.5444537723979	7.19104782737213	5.09907482428207	-0.035544247188227	1.5307327583937	-1.14144921508432	-8.18968598090214	1.4257941707524	5.59269831016172	1.04179817622571	0.559426006958347	2.9463984953527	-4.87332528284787	-7.57199922276277	8.98880797008451	-0.949212196088865	7.16909815103054	-13.9768395952033	-0.858006337661209	6.45980647731358	2.22962061240833	4.73413970619822	6.18254603464857	7.60814268761351	-4.25636389636111	-9.47241785040933	-6.73753128889848	-2.94891070050335
	8	-2.03154263204215	3.73314580957685	-0.385275593283495	7.04854731212708	-2.40266082524749	0.853282989800391	3.03903624241275	8.03048298715203	7.05614809888084	6.69242205922501	2.57178398856058	3.49728017631014	1.47039760709094	1.80255405638582	7.67422390987485	8.84953261842475	3.73672421942501	7.06031744761822	1.92941315830467	-0.97523307541087	5.05671180489298	4.53664873819798	1.91456454035188	1.19947980081406	-2.23478186400189	-5.18379688330606	-7.6228593255164	2.894682305282	4.69874764699398	1.40173364192196	-7.49596626581979	-0.455508357319559	3.33239583439899	2.33306453915884	-3.23558734404742	1.96389640306279	-5.24836789394567	-2.1302441726184	-1.32586727284433	0.894336101737281	3.44138316697081	2.64641991679127	7.70462847958879	-6.85306466332258	-6.83053958636629	10.9594787343312	6.22054023357578	1.78471868131101	2.19901412933314	3.16773771776752	2.50763298946185	-2.96591450946744	1.99768683070033	6.74582979819115	9.64803683184527	-1.19295577749563	4.02425425918409	3.14382666762367	1.66803093671842	1.6586084230812	0.289220250428571	7.6319880870542	8.50291376181394	3.61552779665089	0.119473309103341	6.06434900071963	0.0944383672895128	-0.0697398050388074	4.79900281839491	-2.18626430840504	-8.10400800888283	-4.92662615542213	5.07275247231701	-1.9426324840706	3.34653010526563	5.76870296361813	-1.16924467858189	-9.32821826437794	-7.09498298795825	0.687822793934629	-0.283738333684141	10.5152218701082	-12.3616226653457	0.236382378217058	1.80973079237083	2.77727458837217	8.17896228128757	5.31522465550552	0.657651835187608	2.69933892781046	-7.50463687302727	-1.32217985928992	-0.517529336865664
	9	5.61706882789849	0.791285821497695	-2.74004242716501	8.67237820150694	5.00989923942871	5.89798425628669	-3.87736680976559	7.54408353779036	3.99396064453504	5.09251891172971	2.19389334948664	3.90140078054674	3.00473910996425	1.71268782949301	2.35700392337185	5.71154987836508	9.00604050405764	1.67145951867042	10.6966196639705	7.88389284147615	-1.11016299380753	4.81854021692197	6.35988088392241	0.398178723788533	-4.78821032455244	-6.81465632675281	-7.33654423704138	4.75760260094921	8.04581326413791	3.66792891285513	-6.74111931364314	6.06317648401046	6.37100607227057	7.34015609248445	-2.55285488155369	7.45434546016349	0.537804637245699	-3.42330917476465	-4.65330695019748	7.7183223296006	5.04540992447073	0.172872927477329	8.18622285558195	2.86745995611454	-1.2008965218356	7.11839357956796	1.96559143446575	7.24037066802703	3.00806862402715	-5.05961499006571	-4.82434136996199	-1.36441856826605	2.58404394270565	4.05948065070243	6.57752989033725	2.61885712751337	0.844467910377716	-5.89238287233638	4.72645371461795	0.2527530965408	8.39078166542868	4.51276860453345	6.99279859426224	3.39075411763952	-9.17220331379031	9.09931307809347	-2.79703453734874	3.06865014886989	-6.3512115626545	-1.55222598222554	-3.44555486770923	-6.05423660635688	1.2391511982305	2.34011566375739	-1.37028706141973	1.18219989397949	-2.8163705674433	-4.21437067864008	-6.15995602676276	1.25999045370918	4.98182645444558	5.13049762518403	-7.10615554598007	2.96023340147622	4.57414940675153	7.21540015017126	4.90516081325859	5.81468537686214	-3.67553499906535	2.04517940161259	-2.14684065414622	0.0571043782233573	-4.86982109122528
	10	-1.54764612696454	3.38431613294324	0.794463164631452	6.55153301318524	4.60108264250357	2.39884827886726	-5.92866607670567	-1.68348641172224	5.7039704170038	4.70196531272677	4.23661091026906	4.04285882311797	3.29131391842839	-4.63339080035485	2.28663081886498	11.0400503510218	3.24757888445401	2.34363326013136	9.10629457041887	-1.85673319167836	0.413314917605931	5.02223023438273	10.4772062576862	-5.04174517491902	-2.09457357170459	-9.08935855803929	-6.93185734952795	5.91304377323831	3.08661820659017	2.22606189167345	-2.72560086781505	0.461812927119354	5.74301176935205	6.65737433314234	-0.266851029985901	2.87599074187301	-0.603963912989911	-3.34867549944647	-5.48107436200007	8.22053787229743	2.48332635833049	6.20483670774956	2.1357652945444	-6.08932182401986	-0.723731905683053	2.5820219178604	-0.0797128455928942	6.09928334193364	3.89599351834931	-6.62153467376993	-5.45186825317978	6.48346430705169	0.54286728552961	5.53945343556916	-0.264442312889514	-4.25518166414167	-0.442708515788581	-11.7586906302649	-4.0051988821092	-0.955503782197411	3.20249785001397	2.52465090379792	4.99862566935917	4.65272717893276	-3.68839637270685	4.8919923709318	-3.74125781209204	0.961881326111325	-3.23915944865894	-7.68783513323751	-4.5718346788799	-0.635014148128903	-2.65949306707034	0.168854275365447	-6.08479954054565	0.86935126375829	-3.5811780575641	-2.13588978301777	-4.53997888614822	2.39832352367421	-1.63463471821706	-0.318288023195237	-11.6306436260538	6.0405358343196	3.4349136854953	0.666246273694014	2.92151953368011	4.72320895583744	-1.9628298777825	5.75443659418124	-5.72703888172873	-5.14836472691331	-2.70113262368932
