	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM	NA	Std	oncgor_std1	21.4823431419866	15.4
	A02	FAM	NA	Std	oncgor_std1	21.4713463692891	15.4
	A03	FAM	NA	Std	oncgor_std1	21.6646840879457	15.4
	A04	FAM	NA	Unkn	576	21.9819286459467	12.033207487677
	A05	FAM	NA	Unkn	576	22.0568554613846	11.4241132742333
	A06	FAM	NA	Unkn	576	21.5645901655794	16.0706460267029
	A07	FAM	NA	Unkn	576	22.0545575352304	11.4423270911197
	A08	FAM	NA	Unkn	576	21.5160401583128	16.6207543991773
	A09	FAM	NA	Unkn	576	22.1158143923209	10.9665795601579
	A10	FAM	NA	Unkn	583	36.5142961495881	0.000506976724128243
	A11	FAM	NA	Unkn	583	38.2498745988681	0.000152209399791584
	A12	FAM	NA	Unkn	583	NaN	NaN
	B01	FAM	NA	Std	oncgor_std2	24.8390146953936	1.54
	B02	FAM	NA	Std	oncgor_std2	24.7044081605201	1.54
	B03	FAM	NA	Std	oncgor_std2	24.8835810463214	1.54
	B04	FAM	NA	Unkn	577	24.1610737807354	2.65635528494923
	B05	FAM	NA	Unkn	577	23.9550155103925	3.06426286018539
	B06	FAM	NA	Unkn	577	24.1202456361027	2.73261636953577
	B07	FAM	NA	Unkn	577	24.3231075686984	2.37411176396906
	B08	FAM	NA	Unkn	577	24.2947459307155	2.42125348535552
	B09	FAM	NA	Unkn	577	24.2666544573182	2.46886883106661
	B10	FAM	NA	Unkn	583	35.0994640403205	0.00135196211287194
	B11	FAM	NA	Unkn	583	36.1550382354162	0.000650358920239409
	B12	FAM	NA	Unkn	583	34.8368222059476	0.00162196138689167
	C01	FAM	NA	Std	oncgor_std3	28.833998675602	0.154
	C02	FAM	NA	Std	oncgor_std3	28.611235460491	0.154
	C03	FAM	NA	Std	oncgor_std3	28.4581428999122	0.154
	C04	FAM	NA	Unkn	578	24.8852046008539	1.60792372346743
	C05	FAM	NA	Unkn	578	24.5170427333089	2.07544542775212
	C06	FAM	NA	Unkn	578	24.3904771643531	2.26577915473541
