	Cycle	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	1	19.8531927023191	8.31456292540497	22.54248279069	16.5783153106322	37.4671869894819	24.5476458659023	31.9891070790691	24.9114324176026	14.3316201963935	-0.730066086582156	18.6073112785643	-34.8087056001373	13.7987273985718	25.8577291632519	26.4848052471016	24.1398643116963	17.8468062625443	32.1344605505392	16.5534386548834	12.4719646765234	20.7260887983084	16.0118348067463	36.7209238427131	6.07215192830427	37.7139018939606	39.9035896486512	57.0180614065284	42.7714473431124	15.5664231055898	46.8996894059155	29.2099529061625	42.6270660100563	62.1692043044377	44.7196511581706	28.7818753099436	6.81911199844353	13.7483506817343	32.87331869025	44.4115752839089	41.8838374788184	46.6291780774609	37.1265426908221	42.0963712002131	18.6074736894361	33.6963281233275	30.8752949401714	19.7802083075139	4.20485450861815	54.7725428836275	51.7611263036597	58.2100159495794	65.7674871327226	47.520847314664	68.061890508091	68.4340922550218	55.9984156125438	59.4388195494621	79.7678731816545	63.4784359208088	36.6888821666194	64.695228245173	50.3926753078731	60.1314550431671	67.9153863867441	54.467723751939	50.9702172853949	10.7712559969368	37.3139685665046	59.5032017635867	70.2742244377964	36.8349498912894	53.7412949087638	51.5006395826531	80.3430119312616	59.2872739680179	68.4008423631376	57.8906953171418	66.7810381297822	50.2950687001066	72.477879541223	74.424289917034	43.9346813353341	15.4054469402281	-18.3945956846464	-2.12289380798393	26.2469759997184	20.6203516520272	15.4807902545726	17.6907281062904	34.9728943245664	9.41710719092043	37.3680341208501	48.510847343654	21.8133535207007	13.3944977314322
	2	16.6481826705549	22.7069379389322	21.6204281389701	9.25170007341512	27.5582365502851	16.1725933221942	20.9893513638926	14.2600317251108	10.0938369260166	-11.5837526601708	6.65894407732685	-36.868751474753	19.0704222175409	31.4084412250686	24.0983773246853	28.4317743976708	20.1396980497602	21.8519301497745	17.408048958333	9.96484027081806	16.3782832092747	14.1922643788357	29.2626548296585	14.0212289190576	26.7393939144513	37.8544051849667	42.9726212219293	39.6331301991368	21.2830149178963	40.8418346194503	11.3648106461305	32.0053139175579	41.3401027898462	28.054776377443	15.8673201836937	-2.34656723589478	19.9977851154617	17.3425336015553	43.2358170772204	29.8664148399112	28.5843810800325	34.9416968340574	26.6528111104362	21.6750515524291	15.9258996395902	30.7228220236384	4.75420422088246	0.210226970657459	40.700233595755	39.4371748102794	51.0273947237674	52.5573431402827	40.6130338719386	48.1382136195652	52.1618253993802	45.745503128318	42.5018916307126	51.2031681035069	54.7525615084783	23.6973227846361	61.5027230928936	30.9089695804323	43.190943991247	52.880707430988	38.010754779184	37.7510172415441	17.8757918987239	19.45704150437	52.7467773896406	58.2720846183902	21.3485719454352	45.9577456250599	45.1342818662533	64.6694161766245	40.5285176441384	43.1486280190957	33.8431663026986	36.2686453497563	34.8943476160184	26.7478391123886	60.8921772477511	37.5842022687243	1.35941023151736	-27.3168288453126	-8.15719308031657	6.51487955217726	13.2762296419733	7.50547588650534	14.8365513093422	21.0969444248531	8.35033303097771	15.4483858647845	43.4097052815068	16.2849319878242	9.754288873115
	3	-0.61012966967246	18.2068046469576	9.90613406838656	10.8772985258374	14.7543338077203	10.2012326985459	10.7630381522076	3.43611326120481	4.17134837818321	-6.03518342570987	8.43177339926842	-35.8800771428441	23.0784202384239	22.3393853146918	23.4053943892086	12.7534656345761	5.24925330828137	7.70263493831317	1.23790877781539	6.66910895820365	14.6053985663157	3.35209457739711	14.3239262009411	16.8167723403731	17.642311327646	30.3891689500006	33.8158150813833	24.2419338363816	8.35727726149889	23.3457539254705	7.8740346197892	26.6399936798653	28.1212314910226	15.1468499336988	4.5930863979147	-7.64862764875943	11.5498861500964	19.7666422702659	33.4731037790752	17.4803345083965	10.6426628368345	18.6638486063903	17.1628006433921	11.307258003214	12.9306961884713	17.9886573405174	-1.76886725666009	2.27407807165037	30.7931662450983	36.4971444910943	27.8708342231639	33.4559969042657	28.0896422779424	31.0386856371633	32.1413444891223	26.8671421536255	27.1027448627274	27.4611768145473	33.9305769139337	21.0762395851812	49.3964570042408	21.8627871809485	25.0115077683831	30.3775965425557	16.0171238309067	21.7440770150697	17.9974091092072	11.866024148595	36.7225012999943	44.6004437378811	17.7563498246313	43.9038610709404	36.3085746083834	43.7631454909661	23.5031760348984	32.7619558353435	24.4113600125202	17.3753151580722	19.2157335153497	15.7058756072383	44.2695427527392	17.7177915066804	-5.12938981111574	-24.1330802308712	-7.72667016828564	1.06922632802434	6.42988272649563	8.76962539648957	-3.58424056506647	5.72204922974379	5.14026372397529	4.73900267419958	31.0368995739855	5.40496195208925	-2.26165211467696
	4	1.14111227338253	11.1458312161312	2.87169383844957	2.23698583891564	10.7465435548911	6.33363794355319	5.12588861390304	8.87594502506363	-0.131313372032309	-2.67964276187558	10.2994496406609	-21.9552300793739	11.3803203312	19.030797938216	15.1304915682267	5.41086699823973	5.30890512154019	8.68679763476575	6.97023412744784	4.25418521975917	10.3249146225899	7.2888033638319	1.40987649680301	12.987925907757	10.5459719736837	15.3927512777091	24.0036761815154	16.291270751869	10.4205860604779	18.7074549287563	0.899475509653712	24.7731496138413	23.619466076133	1.11132282632116	-0.751477394589529	-3.51096371620451	5.71894526121559	14.0683611050372	22.0043420011589	13.8363433168352	7.03245952301859	5.70061716957389	12.4073777696449	14.6636272711858	6.45281525888458	9.17347581034846	-1.61244561833155	1.76200107604473	14.1583359440256	29.4850671500535	17.3739604979392	18.0365124148875	14.306491728441	21.933879537346	18.946242866662	11.2769870924021	16.3840572838781	22.6240345351648	16.831510205111	3.23428351579423	26.7496849922518	18.7712995065203	21.0318860648558	19.1025428609291	7.14477916579108	8.2751107145732	14.1250211228553	14.1350906026937	23.6444138838642	28.9718464350735	1.59848595591848	37.1325395225213	22.6605261613831	26.6973073778263	14.3144705938257	22.8629001473983	17.0711795252701	8.84214008280833	14.5416867913618	18.7197914039607	29.4368979558994	1.11406160089291	-21.5811135211461	-15.3742702528498	-7.20222512983855	-0.851582521840101	2.66001930718721	13.7947197847416	-1.66704943303193	-1.52881755313592	3.1920013835479	3.89123048473994	22.0585624857931	1.34829357135231	-4.65304189282006
	5	2.45605984309259	-1.00429731114673	3.61876318702707	2.16594426455686	4.8974900013136	-0.019198557269192	6.07406863433698	4.83565149378501	-1.80879350387295	4.209450880031	0.425571244803905	-12.7763069757857	11.6955195777864	7.85874949212484	7.12850012686795	9.29316699277479	-0.406620454537006	6.29006144736923	5.03663158931613	-0.659160030083513	2.1381695935861	2.32539887920393	-0.475274293487018	7.59296717109646	-1.29704892219979	2.61613191568449	11.9819039728209	6.35439150434831	6.06584525640665	10.2819006187992	-2.74935555385673	16.2008986823703	13.252879251746	-3.88269673246759	-2.02100987671838	-1.72768474881013	2.63462746617734	0.179276598114484	10.5854803561515	10.08662856724	9.20356293970963	6.11792380607767	10.5810200501774	5.42659863794051	3.06345180217704	-1.35281504910017	-10.6848672044734	-0.525993679383646	10.5743943069801	13.570485465656	2.32887478548037	6.41540222489857	3.8353604902868	7.60907404443333	8.98120006214504	6.80590672749076	6.88607128858621	14.2086212449226	7.59159814046052	1.20492804089599	7.88662711007782	-2.07964127511605	10.7931858144539	4.16991498371317	4.36979609356149	6.53007961860385	4.15119988607421	3.5327580688845	11.8519797783447	10.0537043019735	3.38326187889152	19.8562294223821	13.8611621559439	9.43261726231867	10.816869249752	13.9626171423097	11.5692515662286	4.84293348803749	14.1381821859904	9.43934403641015	8.71340817823602	-9.07740898124575	-16.9493215199336	-9.04994194305527	-7.74490705268909	-6.36211805164476	-8.09084036717286	11.3787502525111	-5.45616708324906	-8.92541510084357	2.18931512999825	0.0044968442116442	9.59404794615966	-5.08885552259062	-6.03304228818342
	6	9.29346582141261	-1.91372431927357	5.8906119377607	6.86713402557689	7.39685996097251	6.56436394115462	4.74839603220607	-2.52970813708816	6.12610929592756	0.794673395524114	0.674797469877376	-5.07051705494996	5.06940604783267	-0.170373426366496	0.547906298429552	5.09172134131495	6.15768583429053	10.3885582012736	7.61381894281931	1.71006374982517	4.32335338451776	5.68363478997344	4.44892316930873	8.31220591067995	-3.33308334376306	5.64184641947759	1.06397277845736	3.62300856763886	8.29901477174735	7.18032449773546	0.199937853170923	15.0434286697191	13.9152962719509	-10.4651837957153	-2.12088515077903	-2.42805880074638	3.98010533865272	-5.82136150478618	-0.686618700679901	6.38855604655691	1.66209361990786	1.65989587055719	-1.39404262633798	6.71957127598762	4.93272399864873	2.60955545765592	-8.37314455158776	-1.97066508870375	-0.738199794594948	2.78278671050157	-4.51411578828629	1.94563011633636	3.90591582572506	6.44264491680951	5.31527629295579	-0.109248290134019	5.38044093448207	9.21288194903491	6.9622546521673	3.68575578666059	3.22099277383313	-6.77501958323319	6.62972615846957	6.44704011477643	1.79379415159474	3.629324771352	-0.615740141782226	7.23515011948439	9.26312264645185	5.54512161160301	-6.07079160217427	23.2204528991915	9.32132222920245	-0.639743447676665	6.03083742984836	2.13043315853793	6.56921712415533	11.2956745966958	9.63397957385314	10.7830466824416	8.87870352479194	-8.72409398360651	-21.150453768747	-2.60523616260161	-8.52185424031086	-1.54020778406175	-6.3784839795162	13.2608916097324	0.95590294372505	-7.98718313220434	7.57698099776189	3.50815812942983	5.89893810090143	4.07895210322931	-6.75565244084009
	7	10.7549497642058	0.122661484112541	3.33924292240863	2.97233983805381	8.43654997558133	-0.60186746312047	3.14747457158774	4.21065338784501	8.90708962355166	4.74145836274329	12.2559520161658	-7.16908768948269	-1.9748894374361	-7.30444661790534	-8.24067177569486	3.61174941511399	7.29396159054249	5.54766722941713	9.13870367529216	6.40756238059112	2.88101048923181	5.59827315269558	-1.97126048043992	7.20539995357467	1.66461379748307	3.08045147496341	-1.40062159942227	-0.89583880472037	4.94508608994329	3.41034795949781	-1.63396901021315	10.4033295738263	11.1891976016796	-12.5793629078953	-3.03408726294583	-4.32472437560227	1.59415332235949	2.42811136098953	3.06606981900586	3.54800786598389	0.652949938596976	2.32782531123303	0.44927824243041	4.33137468205496	1.21493277678292	9.63438458146265	-10.516302602864	-4.16523016036899	-1.45448516114084	-5.46494022099705	-1.27299984121328	3.66863189798732	1.28311531350028	0.768189838212493	2.68782156111592	3.82120702883367	2.01076464816742	10.5539806221655	6.3595558721986	-5.32250965324556	1.34364679347709	-11.6265626116165	1.96666940785508	6.58112351594536	0.938777341178138	5.18668384407829	6.33074835065327	1.74885576425004	3.16525215509046	2.74643391567952	4.11558202937704	13.083172624998	6.41263403487119	-4.73103274865207	0.839330540237825	0.0140576617777697	0.307120493274851	3.46008620134307	1.18762310307739	7.82848754954557	-2.82604202634275	-13.5898979915378	-13.0723857134658	-7.0448785478693	-9.08865752074689	-10.9270988150065	-11.619610595887	10.4389172241745	3.67507639794439	-12.0159951511978	3.88135290594073	2.80429842922149	3.8871597940888	-6.05107266340065	-6.95209241849216
	8	10.8093632420896	-3.18182950860228	1.57549748444217	5.21551140579868	1.36550092050311	1.33920991094692	-0.847918762972768	-1.24919799464897	15.2361925795867	4.82252909158433	0.936169379824605	-5.39259701381616	-5.86713927477467	-6.65759004788015	-4.136432496206	3.28805956066117	6.16881749431104	2.61286008817933	9.65102358423519	7.48854363825558	3.05403346586991	8.03558069964674	-0.216303781685383	1.81043657332611	6.88407247057785	8.24682683342235	-5.94216034674992	-4.39154394319849	4.69144429451717	2.68746932132854	-2.91736534094343	16.4739709235391	5.84374067177305	-13.8918064324853	-2.30697673773466	-4.98615995322689	-1.47797271070976	6.79763978710344	-3.81704262025414	1.61054116826199	1.90402158600955	0.983608321558677	-3.34933794536755	6.89812464697116	2.66278893965864	5.45804111866255	-7.5351827683462	2.24948137839783	-3.21105426072972	-3.60628508590526	-1.41225802546614	-0.788843172105771	3.39090854069764	-6.4710300399438	-2.29365302903079	7.9338045182667	1.60915660151841	6.64821958003813	9.00342634673325	1.92817802569789	2.16022508600327	-7.56843578696044	-3.13284753582138	2.42980442659973	-1.84791888365817	1.20792014483868	-2.17034777764911	4.98939033844181	5.01812030213387	4.84870267980341	-0.672533263359583	12.9356880832556	5.37009447267155	3.09871654722065	-3.86952909793035	0.749196869556727	-1.43420432987205	3.52295307219356	0.666063413028496	0.66517588347233	4.63354222804037	-5.3249412689197	-4.32559263697749	-1.06203094841385	-3.24187765329771	-4.73873766308679	-5.87191069283199	4.55161586140639	3.11873598931106	-10.0405974497571	4.79823287845647	0.114669593699546	-2.3722845846778	-4.19308899215093	-2.11482990761078
	9	3.90961375756797	1.601962720747	1.60030905349231	1.29486574586463	4.14037046991143	2.36299235019305	-1.69905815610946	-1.65978999092295	8.09296544975405	6.78389018392318	-0.391369046178625	-5.51890805712719	-7.99664644792574	-4.27575427050124	-6.60188424687567	1.00709047888631	1.17856326816127	-3.68612278427827	4.77376175653626	9.71523824177712	2.78148670072642	2.98079988015888	3.39407356130687	3.98910181963129	3.33662881236614	-5.29002989315359	-5.69935159553734	-0.0510879333851335	0.839453979724567	-1.18738554932315	-1.10969205218862	4.47315722146777	-1.26151814892455	-10.0375037890981	-1.28792006309959	-0.361887283501346	9.39941898703	5.20144512936531	0.68591619979361	-2.83346912508023	2.86860120066467	0.639314925403596	2.08239043058165	1.6991117898533	0.957258644533795	1.27081672907389	-16.5009892731323	-3.84910446741742	-5.5171429812508	-0.853177627258447	6.16704663380642	-2.64204800119478	0.427613289250985	5.96971631369888	-4.51328859165005	-3.1615710874903	-0.551698640109862	10.3950044499347	5.7064997385587	-2.45237993690671	-3.20112919104395	-3.1255382388772	-0.907882778131352	-2.87823147780546	-1.19020169573287	2.88284688723343	1.00285506495038	1.92171090982447	-0.725103099615808	2.18099711821833	-5.7088275890992	7.50489736856161	-0.957234522007639	-2.63603441934902	-8.7595625710328	-2.22232506181263	0.545909787728306	-0.855939973941531	0.120443659101511	3.70495223477792	3.84084691516318	-5.10253463640993	-10.4191819561834	-3.76649344663565	-6.68681503758489	-7.27711868686947	-10.3637422044694	7.72397699420071	1.7499805137104	-11.2702942630849	2.35191527355801	1.10598806115649	2.66201247879144	-3.51716452685378	-5.74210533999349
	10	2.50481375979416	-0.938245366431147	2.84773761282304	1.25054379635458	0.987371230452482	0.413607578014307	1.86517986782292	-8.05194909630791	5.30070679253913	10.2693295273684	0.646176322242354	-5.42408498923851	-3.57948769451559	-6.42859599276926	-0.0898733687963613	7.26890008824648	4.15446749789953	0.700678516944208	7.69291381226412	4.27641525937361	2.3382978642594	2.35598707896133	5.70307035560108	0.961883967907852	2.74649414303894	-5.27465135909461	-12.225438881942	2.21280852752807	0.481812908120446	-3.97334071266323	-4.66742917269585	6.18065624802239	3.21467827811375	-15.3194621587409	-5.31816059172161	-3.77088127492698	-2.72820577284892	2.98482855580914	-4.8025877658265	-1.57528795167309	-4.14748585543566	0.19068186532968	0.256912651085258	1.63692201140748	3.0621499955223	-2.95779793047859	-7.22172918811066	-4.36106258204927	-4.35471344036978	-10.2857123384674	-2.3701428547347	-5.02102219934659	-4.08929003919911	-4.80579257379304	-1.51461282577475	-7.95958638833326	-2.4778285081893	4.9655928978932	-0.482528805387119	-1.11548888173911	-6.57794197831299	-2.0895168593579	-7.81972038260119	-5.53003909202198	2.80522317902069	-0.649633870181788	2.54586930202549	4.24211080979421	0.918855946738404	-3.40566769832458	-4.69865199913147	3.36205885423624	-2.00037883694495	5.91755322621884	3.05834000299728	-3.14392490753562	-1.27353670804951	4.16310073548448	0.637374606747471	0.0919165349350806	-0.00300632122252864	-6.02511214238712	0.813339577863644	-1.85656071879839	-2.23286519816247	-9.00077622496065	-9.59873054966374	2.84981149616851	-1.23726491589878	-11.500389511003	-3.61930788765403	5.89700932583764	5.36759140756021	-4.41869293208219	-10.5002064104274
