		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
A	Sample	oncgor_std1	oncgor_std1	oncgor_std1	567	567	567	567	567	567	574	574	574
A	Cq	20.0452710467659	20.3132750857112	20.2114853498097	28.1027940189709	27.6073047608384	28.1731664677799	27.9273295923614	28.06068339269	28.2073646116883	23.4744559477899	23.5977048510912	23.3797277244068
A	copy number	15.4	15.4	15.4	0.0705324880261204	0.0994415668862279	0.0671741089655881	0.0796557108403508	0.0726218993733407	0.0656002893128956	1.74525864698673	1.6023330933417	1.86371701228944
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
B	Sample	oncgor_std2	oncgor_std2	oncgor_std2	568	568	568	568	568	568	574	574	574
B	Cq	24.0860326014816	23.7034760793374	24.0362117707368	28.0373892992349	27.6859945062161	28.0728547904076	28.2924764567942	28.2007968255422	28.0477157541969	23.1749990463169	23.0146255217135	23.4043950406231
B	copy number	1.54	1.54	1.54	0.0738041598680889	0.0941621899987099	0.0720117087560256	0.0618416148470528	0.0658996551581748	0.0732776979822368	2.14792136586646	2.40050502278072	1.83211736418326
C	Content	Std	Std	Std	Unkn	Unkn	Unkn	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn
C	Sample	oncgor_std3	oncgor_std3	oncgor_std3	569	569	569	nc_plt	nc_plt	nc_plt	575	575	575
C	Cq	27.1892614809765	26.7260059733373	26.5834432081566	27.1130783013784	27.1074962394782	26.9387613849088	NaN	NaN	NaN	23.63489108829	23.434581584659	23.9929113434915
C	copy number	0.154	0.154	0.154	0.14007689885908	0.140620011819611	0.158069742975926	NaN	NaN	NaN	1.56155399784117	1.79417548409324	1.21833450650514
D	Content	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn
D	Sample	oncgor_std4	oncgor_std4	oncgor_std4	569	569	569	nc_samp_585	nc_samp_585	nc_samp_585	575	575	575
D	Cq	31.4572533132724	32.6140858908664	32.6992989331573	26.7197296575033	26.7622192163451	26.9563739978993	NaN	NaN	NaN	23.3771758649695	23.3396469682717	23.5998697774012
D	copy number	0.00689366112334225	0.00309142087053188	0.00291408847747957	0.18398966419972	0.178649144402132	0.156151461585463	NaN	NaN	NaN	1.86701697739039	1.91622820699056	1.59993006726472
E	Content	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
E	Sample	oncgor_std5	oncgor_std5	oncgor_std5	570	570	570	570	570	570	537 (virik)	537 (virik)	537 (virik)
E	Cq	35.6294725868017	NaN	NaN	24.2493371036959	25.0290893426331	25.100584243175	25.1070374517678	24.7502125359276	25.0532950825518	NaN	NaN	NaN
E	copy number	0.00038221232126661	NaN	NaN	1.01991389263106	0.594019445305399	0.565295374504728	0.562772076900926	0.720714263995759	0.584134627060403	NaN	NaN	NaN
F	Content	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
F	Sample	oncgor_std6	oncgor_std6	oncgor_std6	571	571	571	571	571	571	537 (virik)	537 (virik)	537 (virik)
F	Cq	NaN	NaN	NaN	24.4322264140627	24.9686001833552	25.2534036293624	25.1433233639971	25.079949760547	25.2470602159642	NaN	NaN	NaN
F	copy number	NaN	NaN	NaN	0.898463331026661	0.619458695066827	0.508470244076129	0.548792047184816	0.573439930090528	0.510711194498654	NaN	NaN	NaN
G	Content				Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
G	Sample				572	572	572	572	572	572	540 (virik)	540 (virik)	540 (virik)
G	Cq				24.5978734169458	24.371785334761	24.2868972256206	24.8190489458098	24.2255370167867	24.3497484491179	NaN	NaN	NaN
G	copy number				0.800992428151418	0.936909349338558	0.993699668299182	0.687129017038119	1.0368814055804	0.951332422284861	NaN	NaN	NaN
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
H	Sample	nc_mm	nc_mm	nc_mm	573	573	573	573	573	573	543 (virik)	543 (virik)	543 (virik)
H	Cq	NaN	NaN	NaN	22.7009361601455	22.3606794891183	22.2143344413733	22.8952400975968	22.8316485486021	23.0253487308399	NaN	NaN	NaN
H	copy number	NaN	NaN	NaN	2.98363860102518	3.77736134766892	4.18070157838755	2.60763272899615	2.72516098389111	2.38272621721872	NaN	NaN	NaN
