sample	volume
500	200
501	210
502	200
503	230
504	230
505	240
506	250
507	250
508	240
509	250
520	250
511	250
512	230
513	230
514	230
515	200
516	260
517	250
518	1000
519	230
520	230
521	225
522	235
523	225
524	220
525	220
528	260
526	230
529	270
527	240
530	270
531	210
531b	NA
532	180
533	160
534	260
535	210
536	220
537	465
538	480
539	450
540	370
541	365
542	440
543	400
544	290
545	290
546	395
547	360
548	410
549	240
550	180
551	170
552	260
553	325
554	260
555	135
556	140
557	170
558	150
559	135
560	120
561	125
562	115
563	115
564	125
565	110
566	105
