	Well	Fluor	Target	Content	Sample	End RFU	Call	Sample Type	CallType	Is Control
	G05	FAM		Unkn	582	7195.32373827064	(+) Positive	Unknown	Positive	False
	G06	FAM		Unkn	584	4145.74847737749	(+) Positive	Unknown	Positive	False
	G07	FAM		Unkn	584	7135.30245410892	(+) Positive	Unknown	Positive	False
	G08	FAM		Unkn	584	6649.23101922702	(+) Positive	Unknown	Positive	False
	H01	FAM		Neg Ctrl	nc_mm	28.6357861329563		ControlNegative	Negative	True
	H02	FAM		Neg Ctrl	nc_mm	9.08909878916002		ControlNegative	Negative	True
	H03	FAM		Neg Ctrl	nc_mm	10.8819828065343		ControlNegative	Negative	True
	H04	FAM		Unkn	586	216.511610222719		Unknown	NoCall	False
	H05	FAM		Unkn	586	2009.12219156167	(+) Positive	Unknown	Positive	False
	H06	FAM		Unkn	588	2813.57491711497	(+) Positive	Unknown	Positive	False
	H07	FAM		Unkn	588	1051.08523019274		Unknown	NoCall	False
	H08	FAM		Unkn	588	2624.84495184173	(+) Positive	Unknown	Positive	False
