oncgor_min,oncgor_max,salalp_min,salalp_max,salsal_min,salsal_max,saltru_min,saltru_max,oncgor_mean,salalp_mean,salsal_mean,saltru_mean
0,0.0386235824089315,7.50896153584787e-06,5.18951584598552e-05,1.47753897248771e-05,0.000414426637843743,7.49919352262714e-05,0.000504278217366079,-0.000149193401542109,4.92948523915682e-05,7.94252300970796e-05,0.000118383873236571
0,0.0768944270106059,1.49943769965713e-05,0.000102978741061906,2.97522462626495e-05,0.00082273362581449,0.000149846532861278,0.0009996490936582,-0.000147933445325502,9.68783554530097e-05,0.000158594674693974,0.000235090985681019
3.03249510862706e-06,0.114813838721412,2.24561265947979e-05,0.000153258292627905,4.49290408208587e-05,0.00122497501530257,0.000224562086151768,0.00148621553475405,3.03249510862706e-06,0.000142799502889679,0.000237504580498336,0.00035013750580752
0.000302950869412041,0.152383164501854,2.98940923513748e-05,0.000202741374845269,6.03042433537413e-05,0.00162120503480764,0.000299136904503916,0.00196408027279235,0.000302954126357851,0.000187106168513668,0.000316151276138186,0.00046353963373096
0.000750908775335462,0.189603792278261,1.76862916803942e-05,0.00025143556410971,7.58763226683306e-05,0.00201147807346888,0.000373569313497702,0.00243334584073405,0.000751078297549628,0.000229845121923239,0.000394531171729169,0.000575313595969534
0.00134618115637911,0.226477149871489,3.53285505057242e-05,0.000299348449402519,8.05422393628928e-05,0.00239584866484483,0.000447857654899897,0.0028941145475158,0.00134664906257807,0.000271062044337012,0.000472640758429841,0.000685475640306203
0.00208797633748966,0.263004703932903,5.20641338393693e-05,0.000346487630202627,8.08466078694734e-05,0.00277437147094426,0.000522000286675671,0.00334648845379412,0.0020889077421819,0.000310801544564314,0.000550476607985283,0.000794042030749137
0.00297549996572587,0.299450201066728,5.9405820495031e-05,0.000392860714433583,8.1150775666958e-05,0.00314710126650921,0.000595995582998832,0.00379056934827777,0.00297709298585876,0.000349107175093676,0.00062803537225932,0.000901029042591188
0.00400795507731204,0.33662349468536,6.67231604276376e-05,0.00043847531644553,8.14547429536503e-05,0.00351409292355138,0.000669841934260692,0.00422645872464623,0.00401044083361121,0.000386021448282027,0.000705313782755609,0.00100645295756837
0.00518454216448271,0.373733266115862,7.40160464402463e-05,0.000483339055032294,8.17585099275927e-05,0.00387540139614271,0.000743537747077584,0.00465425775905137,0.00518818477752014,0.000421585852627755,0.000782308650127913,0.00111033005911736
0.00650445924211364,0.410777724512305,1.77921608950086e-05,0.000527459551483637,8.20620767865663e-05,0.00423108170546109,0.000817081444297025,0.00507406728819978,0.00650955582314069,0.000455840869111324,0.000859016863679796,0.00121267662773182
0.00796690191413402,0.44775510336983,3.55386966313939e-05,0.000570844427672735,8.23654437280919e-05,0.00458118892509181,0.000890471465002543,0.00548598778801237,0.00797378255071668,0.000488825987587743,0.000935435390854057,0.00131350893641757
0.00957106343971488,0.484663660500581,5.32393749796575e-05,0.000613501304178923,8.266861094943e-05,0.00492577816658538,0.000963706264517165,0.0058901193528581,0.00958009117620855,0.000520579723215725,0.00101156127671215,0.0014128432462462
0.011316134799229,0.521501678005966,7.08939664038891e-05,0.000655517322811554,8.29715786475813e-05,0.00526490456527213,0.00103678431440559,0.00628656167535835,0.0113277056121311,0.00055113963290893,0.0010873916434039,0.00151069580200711
0.0132013047599776,0.558267462245291,8.85022440596015e-05,0.000699242481753753,8.32743470192872e-05,0.00559862326633401,0.00110970410247504,0.00667541402675806,0.0132158475281962,0.000580542331795256,0.00116292368962773,0.00160708282795751
0.0152257599416784,0.594959343800803,0.000106063983791418,0.000742560671043029,8.35769162610305e-05,0.00592698941113371,0.00118246413277481,0.00705677523785998,0.0152437364117565,0.000608823509670652,0.00123815469008179,0.00170202052367025
0.0173886848817111,0.631575677439193,0.000120476573469208,0.000785473147921367,8.3879286569035e-05,0.00625005812380125,0.0012550629255945,0.00743074368051757,0.0174105896280458,0.000636017947434489,0.0013130819949061,0.00179552505997895
0.0196892621001157,0.668114842069625,0.000124196517592274,0.000827981197618873,8.41814581392672e-05,0.0065678844980781,0.00132749901746101,0.00779741724968272,0.0197156224802116,0.000662159533494057,0.00138770302911612,0.0018876125750201
0.022126672164338,0.704575240698298,0.000127441275140795,0.000870086132870063,8.44834311674355e-05,0.00688052358441858,0.00139977096113419,0.00815689334600334,0.0221580482691369,0.000687281280126233,0.00146201529202796,0.00197829917037178
0.024700093753719,0.740955300379631,0.000130449288701134,0.00091178929343101,8.47852058489915e-05,0.00718803037734842,0.00147187732560125,0.00850926885896658,0.0247370783530451,0.000711415339784949,0.00153601635667548,0.00206760090728832
0.0274087037237232,0.777253472164086,0.000133236115641449,0.00095309204559739,8.50867823791297e-05,0.00749045980308012,0.00153678994687219,0.00885464015058262,0.0274519222068863,0.000734593021343521,0.00160970386921962,0.00215553380303063
0.0302516771699012,0.813468231042706,0.000135816351302073,0.000993995781723549,8.53881609527888e-05,0.00778786670738474,0.0015864980375246,0.00919310303960427,0.0303017874814993,0.000756844806261453,0.0016830755483501,0.00224211382729139
0.0332281874915826,0.849598075888379,0.000138203684565576,0.00103450191974265,8.56893417646513e-05,0.0080803058437194,0.00163450548722468,0.00952475278627704,0.0332858800625462,0.000778200364665775,0.0017561291846799,0.00232735689871481
0.0363374064552949,0.885641529393919,0.000140410950483224,0.00107461190268803,8.59903250091444e-05,0.00836783186161007,0.00168086127321956,0.00984968407761464,0.0364034041292156,0.000798688571337473,0.00182886264013268,0.00241127888151002
