	Cycle	A1	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C2	C4	C5	C6	C7	C8	C9	C10	C11	C12	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
	1	99.4138606155848	136.613232207024	142.17643483975	141.758933428818	152.582322845597	153.871649987994	156.472278260865	140.914330648665	104.786511965994	99.9284602897087	138.104014592072	153.280946605827	167.551452076588	174.774941161916	161.32320258164	163.039408472154	161.151646560969	160.08624091683	77.7736011252591	113.082292283065	100.149050159146	152.79617637517	213.221876633833	184.895655808786	182.790866245276	190.031273936909	189.061114927868	185.562777420252	181.271425159675	104.170923996792	126.14640753924	279.253798303807	177.921243160676	190.114008101024	202.100555920704	198.616660440977	201.887528345351	199.194881602174	220.116387024497	209.954834361954	149.568082535985	269.96540033781	307.382671249091	290.860647051221	226.029928635462	261.120839579205	252.784539914441	223.791104739093	255.502727470484	226.412004228536	269.153960272651	302.180175867743	315.306349375405	223.63901247081	215.160457404965	208.780696041614	208.012551254192	203.416938990424	192.177151768245	210.390680730216	212.635422390428	203.574228576644	183.504657055192	221.051965793066	202.813557265045	201.647494455366	190.023100336904	230.592638123225	136.033768410197	125.99339300282	135.326422125326	216.939142888947	153.724959188842	268.989727279584
	2	81.7444632038014	111.989191573811	113.107457962074	107.03410722652	116.081897689584	109.541139854068	120.20078861245	122.871308612932	92.3247884643183	87.4511931295619	122.019724408665	134.469792051679	111.466548547868	135.727874336536	130.400649122063	120.879167188068	127.086364324597	125.867149484217	65.5306363361665	96.9576112769983	87.0255474962514	140.569445788659	163.294814893073	138.920112455181	132.744187649146	134.351068940852	138.918101229759	132.683570318765	150.166076183558	77.6670048968522	106.042732193433	222.75954851988	125.217391175868	143.198942110573	160.325517887403	138.047368708938	150.075920715072	146.83311929722	163.981969741767	173.300376502904	116.254627459112	220.732963336098	255.240828773108	241.522170762632	167.799478527455	207.885302426986	191.496608149939	177.341614098873	200.769835376872	188.68011780389	217.941948814131	249.109285185544	265.976441904691	140.486124821443	146.454917731184	148.915594590618	142.578729215201	155.616382028353	142.041100699631	143.863055435241	153.548692943047	147.729034344779	131.247301755594	162.795476966884	152.235998856801	163.212951620779	151.787648727539	183.147366636763	90.0388813458267	94.5344501725012	104.276988539566	172.610960108871	128.216336787635	215.275048647835
	3	62.1281191848293	92.289989882087	94.8942722555703	94.8664141935042	88.6231040213925	94.101128826218	97.0846565328384	106.115800423204	90.9420058057194	76.1674577606136	87.4371370016097	94.7552055189954	91.7508704596776	100.489920712625	99.7378097984383	87.7072873635707	105.084150858823	95.2089738251461	49.2244012214446	81.6846866467413	75.4645817721525	105.7808139589	116.781733726718	106.615027775067	99.1515580799469	103.182179124343	103.429527943186	91.0656000693616	123.121117772242	62.1494982883664	91.9452714882264	176.818036209535	95.8559413400908	100.59253741299	104.640854688677	100.452141922051	106.318928733772	101.35671257219	138.763672170345	130.557504718329	100.61862687363	177.636714617708	208.432543427831	188.816069468548	123.28872168581	176.547262007186	158.009394054213	134.370601002041	173.691332634443	154.572152188498	173.929914477138	201.450981819024	208.677232009946	97.029856172815	90.2085798909102	93.8987030749158	102.486398172839	101.843662212889	95.3195340385655	102.637065111768	108.88126592822	98.3740833017691	90.7662597658054	114.840605702218	102.407034642853	140.511342865124	119.845340646127	137.513104503614	53.0440250177826	54.5262061252233	64.009002179394	125.861057308311	86.2445209055877	179.237227103028
	4	56.1687905135595	61.4445836011491	66.8095562384469	68.5255920023201	62.0316547341208	74.6653822392518	73.0753255997597	90.3969102365427	78.5437543813523	71.0878201624919	66.3018022404594	67.869315572033	61.9138980996586	72.9673319529547	72.0857969759581	65.5767307773904	71.2654677985574	65.864010243371	35.612641184342	67.7276571050834	64.9143795785735	67.8111063653741	84.5573951146407	76.621235376615	71.6322904581302	74.3533629834637	79.7730344986812	67.7072291012792	109.523412006831	49.1964626644099	77.3482828606006	148.676108697265	61.7621473877252	74.9959365502054	75.6663007322741	65.4213861196913	78.4282899523578	79.1215253860437	121.53782135763	113.919845082522	82.5498667675374	142.031921274895	154.629891528211	141.024757059594	101.9933299105	149.796195273429	132.487796604173	110.382624597608	140.998994607639	127.30098719098	142.589986429874	152.635568850962	164.418432683668	72.2258820960797	63.0914518469408	63.0030588051713	72.2387673280755	78.0172510902648	67.067817180854	70.7181970850088	77.8176818552902	68.1851015399379	65.953028139551	84.4228719482653	75.002191071253	124.895323048081	96.3701284137669	111.294087792616	29.6686218792111	28.3754715429459	42.025493932616	105.334906974047	54.8559650595598	146.748785600722
	5	48.408468550655	38.5779703807011	50.224729826361	43.0004206752792	42.0258114688104	43.7131925910917	46.7761796392524	75.9404399262403	66.6303771896287	66.9416143769158	49.634916207825	45.6098739679719	36.4009698969539	51.517113328543	39.7784950835503	43.4593493935354	46.9109806804909	45.024696376654	24.3919854207684	56.1485585496207	50.7099741613729	43.6950053151013	58.7220282098251	57.0780201288135	50.9874180624711	52.3989252152678	51.658373269679	39.0502025995474	88.9183150163694	30.5758925405416	65.1823681682895	116.720392540952	42.5356352577401	50.0559351749944	44.6930970115081	39.6299224122849	46.7380117203738	48.4724202855532	92.8619320162479	96.3222452005693	76.732626115846	114.012289307141	115.235984512236	111.413546510616	83.5760712332576	117.825441728864	109.252636684819	84.684369735065	107.044208448621	104.60366390279	118.926882124196	120.26359802736	135.684020168997	42.7681093416222	40.719852427118	49.2884461641124	46.5917601443352	50.6799912359102	46.2431586885241	51.865140493579	48.9751673355395	44.8451304279124	47.593683438964	61.9429742249931	55.3278452696004	103.30837105957	78.7560730411906	93.6324014005486	12.5904831152611	10.5162099110485	19.9634513674391	92.3021756922117	23.8742521880968	120.568331907727
	6	34.6796740215677	29.5669219417432	26.2401710864151	27.1238550932922	28.9075105156116	28.0483230778464	30.3378418056518	64.5209004155613	55.8219182614362	55.9059290085629	31.7997104059796	27.9642456698384	22.0498650005111	24.586247768756	26.571803510531	29.9129784180386	33.703682548482	25.1307892311979	21.5064725066168	47.0932023784549	43.4331075931909	26.7045037022181	39.9322588622554	32.0395228446851	30.3830455655061	32.4952949351737	34.1655196877946	22.2247782038767	67.2097785993451	22.5383431491236	50.7683403577439	94.8074425813056	20.863204318106	33.3322992984204	26.6827508553679	30.3487405807127	33.2278267390902	32.1788987280997	83.6934913861724	79.7910285361759	57.7698583081419	95.6949235447846	98.9242763726934	87.8366838073744	67.3793785681055	92.8358957213268	87.6872960783821	60.6695939263609	90.0202080255876	85.1401106086778	101.258122269553	99.4607824927962	112.996150822315	28.1244700589596	22.4108299529144	28.9609527579587	30.869465576101	30.2961325333317	24.6692202035001	25.2420961523303	32.0813313433873	24.2369641709238	29.2216656811406	34.1278006910716	31.9446147163762	88.099189004779	59.5775882089329	84.6866047335989	-0.388981214587147	1.80895118773333	11.204762101539	73.3541454925444	10.9931186713065	105.024318821246
	7	14.0116001434171	9.94675772653136	15.6116216788478	9.95991675193272	13.0700675877451	12.6473468784307	13.8063169383568	56.7166539304567	44.6585891469349	52.9175789792948	20.562742884933	14.2641443951679	9.98516681615092	12.4846395747736	12.3016845472166	12.9094225078197	13.7395932451464	18.1070219337907	12.5482782514073	42.219632100333	36.9462072432484	6.67927372528357	16.0418528456339	14.338810162536	16.3378686602618	10.5018277591153	17.8697548889832	6.60812376020931	53.2832886213228	13.5286072106105	41.2846877432885	81.1659790318536	11.9306968674364	16.7662355994462	8.64611241352668	16.7703749407729	13.6462408999605	21.9333642731817	65.5203023152517	60.9855046356624	50.4538795784792	80.7688379633028	73.68643831588	73.0932488986127	46.2157082916028	71.3171993393871	67.6605155627503	46.1858265574319	74.9703844327596	68.5429484737224	79.724855123507	79.9341063365937	90.0463262692792	9.56411703818594	7.44140988020263	11.4745201385513	14.3871561272417	8.08588183618485	11.7189689057313	6.87683502347136	12.0215190269701	12.1241691701498	11.8750202181418	12.7801198907837	20.7617526816657	66.9351999280343	45.1714498818274	67.0259150496968	-0.193882867547472	-6.72902661488297	-5.08587358987006	61.3741241285306	-7.77649170934819	89.847649648802
	8	4.22679139253978	7.95640981341239	-2.70643504387954	-5.41713677718144	-1.12537308021911	-2.81850938651314	-1.10662103103186	41.9309709205208	37.6102659930402	36.6256446865373	6.53983510651869	-3.4853510445173	-10.8076075518575	-11.1075696982289	-1.1537749466861	-6.71031228530319	-0.900428124567952	-5.89922447055415	5.65429450207239	26.8559796484369	24.9635263050559	-2.12121709528401	1.18441053863899	0.461630966158737	1.81950631470136	-0.17226317251243	-4.76181660965085	-4.74839826048719	48.295613084902	3.1119982722289	35.9548227827427	58.7539989551397	-6.21673116836064	-2.94041352711156	3.49133780924512	4.3622895805438	3.8176411518034	5.85057520091777	48.1364060715796	49.4753294567254	41.0490554308431	54.6424042275303	61.8324309193931	54.8672667131314	43.3638267352981	62.9959863618969	55.2051899122207	32.3064682199993	61.8128147811558	55.310281165428	67.1186947380684	63.2592261433674	69.4892590201116	-2.9614142484088	-6.43822021965843	-0.413201863835639	1.21519348043148	3.86009261134586	-2.54595740404966	-4.27259205058544	6.69679888600967	-2.52626568683536	0.787105888397491	3.36793204742207	1.33765886478523	56.2871474872654	41.0197766484189	55.0971108541617	-21.4521343083698	-16.1855695557624	-11.4649816768006	53.1527561847597	-16.5945732421142	64.326756495012
	9	-2.1389406589451	-0.817094665641889	-6.51090283465601	-12.5886015534425	-9.18067199782126	-7.92407736051337	-8.48667246270088	36.9151523885653	34.834525379109	28.6154335603314	-0.595083974159024	-5.94654255006481	-10.6329210909516	-20.6720291728479	-9.62566130790037	-9.41003018085121	-12.3842679121972	-11.3966362548044	3.33551505858577	26.5305409995103	24.4716255960147	-7.43673604376272	-10.6114815948922	-17.1073949431475	-10.8827517545615	-6.78431030951651	-7.53037024067271	-18.5231100918554	37.892488266938	4.86896973108742	31.2961684628781	50.9888083286924	-9.86419735995332	-9.85691928972756	-7.70895695455329	1.64280940776462	-11.5828494272337	-10.4166331052384	45.5426351687875	41.9617601162754	30.9606261633658	49.5902225655445	53.1341162280187	46.8566899007328	40.7485322501107	49.077518740648	49.0739233732284	30.1279278185784	49.1288724664491	47.3367476217709	51.9753678695788	51.0425176431309	54.650402226157	-7.82233862508019	-11.8366400854666	-5.46316840331838	-8.87717031634929	-9.59477598421199	-12.9317521120956	-12.8058918131264	-13.1396338307586	-3.47874429438434	-4.75336019002316	-6.19991489782478	-10.4754963664345	43.261456728852	44.9654203246209	51.0953823960454	-22.4009808726014	-21.1058803205606	-17.9621625322352	44.7752607841785	-21.717924184305	56.9610611355483
	10	-13.7769812264596	-11.4847889858056	-17.5199555793652	-27.5710130101352	-14.3846161524398	-13.5584111584149	-10.2538378266536	22.0775130023326	21.2006284799995	23.9965436091538	-13.9077295950401	-12.6922837573393	-22.3805398398317	-23.2309034255286	-19.9000500734528	-20.3002291006896	-17.4932639444696	-14.1744199167797	-5.24218180457183	21.9457589712351	24.3595572336621	-13.1078635300209	-20.816587262917	-16.380218923864	-12.7163310950864	-22.6512502612259	-12.1921170873893	-22.8203907100697	31.262320796945	-0.579193772165127	22.3908244777967	40.9874549450569	-21.5441110893453	-23.9238848859977	-21.0527707404635	-10.0676966347746	-19.2426043102532	-11.0530899353271	33.4428025099096	31.0311122887479	22.5677825727234	35.7148976012495	45.6568277674987	38.2524675724235	25.9870084628428	35.9576164486216	40.4704221625097	24.266865547942	36.1693542942512	40.8091646681687	35.6612830518006	43.4898697237559	46.5029863797918	-19.0863707471253	-17.1701531672643	-16.1410998316587	-17.6709515294506	-20.9846941649676	-18.4164080970795	-20.3654537595385	-18.1214188040994	-16.0276544434264	-9.29570745019828	-11.3529483643006	-16.5440557541679	27.0268850123884	35.568703064785	45.6072642477202	-32.577915967172	-27.2120782952525	-23.1583099948966	38.8559137077837	-30.3779557914586	47.0421135389615
