	Cycle	A1	A2	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	D3	D4	D5	D6	D7	D8	D9	D10	D11	E1	E4	E5	E6	E7	E8	E9	E10	E11	E12	F4	F5	F6	F7	F8	G1	G2	G3	G4	G5	G6	G7	G8	H1	H2	H3	H4	H5	H6	H7	H8
	1	116.314205180337	113.678610693722	56.4412224437638	141.643899368327	129.376104045656	136.153224519515	127.408307673163	166.613659957697	84.9337796155878	88.9145248779214	111.304236578383	144.565044251863	116.663638888639	125.855738984826	131.139133634822	157.484537898042	156.287657088868	195.435435819203	100.075806549694	102.387638705021	151.487503066713	149.860520543472	162.277620134224	152.313657172671	160.267761319829	156.867727249704	168.392968463516	162.529529944558	234.655303846784	195.206667624834	146.539099062973	152.561868524796	127.338573168273	127.965903092967	142.915638946128	142.40594405808	254.251188188526	196.729958248205	148.954298677557	121.479014142404	195.609735649513	237.312976487812	261.011622835582	231.049366157192	231.884731162801	253.140953306902	285.773087212243	247.035929407023	247.25385086489	189.533009456872	172.779932626263	137.136591925329	160.276564660564	157.6577795619	225.172991561397	242.384953017214	278.53126244877	210.344497164985	172.131451826041	173.722865789192	196.125631697392	159.998265540303	90.8348624143464	205.306740645841	202.421349651112	506.608118269577	113.403845931694	145.874490596088	131.461542227452	103.938081278165
	2	82.7847557228924	94.7768017824637	50.2180989216313	114.310060601555	103.460328317589	102.89068425196	105.028247355701	138.707774727858	66.1165656145477	78.3460164694307	88.9544542345266	110.456069007486	97.8912607535412	112.566319667367	115.486884199392	139.823332226014	137.982219417776	176.073350422314	78.5491158255218	77.5059835669208	117.539578994635	116.007069986542	127.563444462565	123.815358684231	135.598552374769	126.698099326359	134.509980214126	133.52370574698	193.769519181642	165.90838572033	115.814460443256	125.43596911546	104.724459019167	101.739873738446	115.274567025007	114.392816086984	202.302900608284	161.243561470815	116.166888454795	80.8619865990458	164.015035080055	204.986791821615	220.065404800495	189.02834642816	192.9350264984	210.768632240948	242.366883258969	209.727645013952	199.04733191022	146.067271758083	123.709877957711	109.53524659651	120.896917692424	123.52906153378	194.106237680897	200.617016682255	231.2626504609	162.198044013549	128.858150080848	135.628406055384	152.070733268864	122.363423857666	74.2471620972319	184.281272404816	181.277038709224	461.132579065707	84.0848884183906	108.920039105942	103.148871448739	79.754855914598
	3	60.5605379899725	68.6050093376325	51.2005666747064	86.133756454491	81.4749194505594	83.5617506186036	82.6096492472452	126.050659227334	61.141248061549	70.145387016315	74.3746710668593	81.2506618017233	81.0769926569437	87.2350602152865	90.5289777897642	106.912381184393	106.043184498054	152.057948718189	63.1621293725402	69.8975517355593	96.3959579346529	90.4085118241046	104.863303177596	93.8067690450189	106.681893478233	100.341273610514	109.854109896532	104.516905909124	166.200248674691	141.868317095593	85.4312959209374	101.898962469762	81.859117498404	77.3929275598857	96.4010864646116	88.2085258175166	168.336638996949	140.783000619156	89.8079720255946	67.1145801395487	133.470611270162	167.874603770335	178.962108680606	150.044982705542	163.726602192447	178.925908878288	200.683172216992	178.231249758573	185.373112784991	109.974935462365	92.0042689619158	85.7593867988116	100.868120003611	94.5936767069243	163.090217094867	174.163705795394	188.791261721313	122.292824292712	90.9864807363301	99.5188864677293	119.097644941135	95.0074403268045	66.6124247937178	160.416690954009	156.977507107393	425.213924207689	67.4921826949203	91.3179003555406	75.0191332222021	54.5974537331731
	4	51.7577157451551	55.8146111294955	38.9172535640619	68.305093098822	62.2637437148051	64.26013491304	64.19849358181	110.211492959214	46.4383091139998	52.3078707145278	50.1189754393909	58.6566809416991	51.6569643448811	71.7377669480893	64.6378714539651	88.3048044424377	85.6332907467195	131.959254911202	48.970790080587	50.050200433363	73.3327646271628	74.4200104026859	78.5747569491286	68.6071103374288	76.2290889635524	72.1180480423282	81.9127709418426	77.1662554436425	149.107891296006	121.943499164625	66.617273818415	76.640438553045	63.1621990665763	58.2534613666239	70.456165167273	67.6892908238588	139.472000400719	116.051574449343	76.4099488731517	54.9960051246344	113.942141842283	145.406776295978	153.106118829615	121.485359716025	135.504062387691	152.406278873902	167.636316738452	147.484146236908	158.290181495277	78.9427574699257	68.2662262986605	60.7737330560512	65.2754207755988	71.3628605871472	144.642394573589	148.143579192088	158.137803672485	87.4360551918135	70.8231702626617	66.3421415565726	84.4030393423873	68.8100296263974	57.4917873463883	140.271738064129	134.911703922674	376.346571576391	43.8787695289757	63.2642151241062	49.7685094568587	37.6964074066591
	5	36.7517099710576	29.2500615479603	35.8644529536577	49.3578187341354	47.9814537404527	43.4476787748808	45.3565653729802	93.7555654340854	41.4238174491943	31.0804681876052	35.0537797803036	33.2377139909131	38.4193720838093	45.2376880542843	45.9245355093381	58.6676005596764	53.2356918508767	114.478581255209	34.4661419075474	42.9826320481588	55.8960604390713	53.8849930531678	60.7649784969153	50.9544878664774	59.3293652055027	56.3312626912348	54.8923839928984	62.1471883984223	123.49760536057	103.241065432583	46.7651653730281	53.9712755068558	43.0725617723292	44.8839293565761	48.4284194801712	49.8789042065373	121.34663156488	97.7865890141666	52.4963753144366	35.228351406864	87.6582943324102	122.926710629711	125.912025402217	97.3833752307173	109.280046596949	128.189576937506	138.678789928172	125.058206674442	135.692675934303	56.996196527426	45.8687013056879	45.1883313818289	50.0189248798597	46.3197640038707	122.566628484105	123.597607523642	133.97915778886	59.0492058187792	48.2153552804921	43.0105488234713	62.0917123276613	50.223047821125	41.5104246254232	115.238311933746	113.964939798882	343.6226140229	24.6576732416652	47.0811313715658	33.7869180773469	20.3758124239776
	6	23.7005912046761	23.136583696134	24.5382872203954	37.1269745277923	30.3977489328536	29.4136721663344	29.3494470487394	80.2153242490613	26.1675038236504	15.5674683171574	24.7971247820697	16.3332243721661	24.2988942365964	30.4350602357072	33.9651190537006	40.2551847562981	37.4518273475815	96.5733521035954	20.2731121434581	22.9365135592489	38.1433387340858	37.3423970975391	32.1618011266137	30.0130751459083	36.0505023896321	39.7533772399502	31.233729111681	33.2175150441226	97.320293795754	81.487113408336	35.4426109700444	35.7168552377716	25.6615269144495	26.2020485290759	32.4726360964323	31.8168582296939	102.049795473941	84.2001112721855	38.0316928352504	19.3614888756074	73.8335113799494	102.875634382525	111.346662525169	76.7743738073486	88.1939827776614	112.736780294167	113.884040932126	104.786214046017	109.711897615893	31.14279029924	26.1239839469581	22.7516278899857	31.4741666305572	31.2760951810669	102.710036909913	102.360149937278	109.003494700492	32.4986345124935	26.9579457461396	26.9339234798508	37.2282235599459	25.4287206931831	27.2735796926172	103.241477561097	100.244320422113	305.86202986383	11.097781587966	22.7061315204101	17.6308062329745	9.50622542022484
	7	9.04832155239819	8.97931709991917	24.4558450398872	18.9153775166105	9.82019444834805	13.8712028361288	17.8814392518098	65.6130293354763	18.8267488033362	0.544679192758849	8.16606215744196	-2.53965868461637	8.35295070472694	13.6099255034569	13.4371130543523	17.6245612219545	21.6293987283734	81.5236001863486	11.012173903162	20.7702046647091	23.2565028043337	19.4733537490974	18.8351278170203	15.5015598833334	19.9908357921095	17.5376625145673	16.6747642198297	14.6749498410672	84.8685723060789	66.5175761608216	16.3115107442281	13.7042922642831	13.6292108573107	15.8950570854695	12.2064343711691	10.3776001515071	80.4136808558023	63.3975931965369	27.7884058015197	14.7636390517418	54.8445756431029	85.0084428500513	86.1092344873432	58.495076818358	69.0810006080828	86.0200770459487	91.4463030323977	79.9017387490458	90.4911683072023	13.8217780980895	11.613063427807	14.5528436912682	19.1621995615596	14.5918300272397	87.4691479432095	80.2186865268613	82.8731110002664	13.8365233077902	10.1986489967412	11.0426017752434	26.2602171438866	15.5698733547815	21.9916013496822	81.1784211400936	77.3633753882295	277.44800389174	-1.10405061966139	7.03478903526138	1.00289601688473	-4.87132241480413
	8	-4.78699736085764	0.831365285775064	7.46891452989712	7.56827924820755	-0.740588949003723	3.69363161761703	4.9801358519926	55.7698192252474	6.55698731884513	-7.93212861786287	-0.838017030621813	-8.76538776229336	6.38152282995452	0.54536303822897	4.46550701296837	8.24648854020597	8.58261367352679	74.3758051519417	8.64044454191571	6.27542841587365	7.43833577013174	3.99941533423225	2.45899172056579	2.02999110086876	6.36482061563584	9.16518468888353	5.40308607826955	2.73397876761646	73.0620116291329	60.8700722982094	6.09675170549326	5.97021759077052	-0.176340695355066	0.778129802179137	7.97920348163825	7.8827741729956	70.6904128050246	51.3258501613418	10.3827214928242	8.33974286294506	44.8489783261039	68.4304484568966	69.6686116720593	47.7363530695593	63.4707052387312	76.2105614853208	74.1880729578033	74.8289296369267	80.5529776575522	3.75991825898473	3.28228573047909	6.22419185469244	8.75701077783378	6.16481294993628	72.2301340226513	72.828312726172	68.6010632077514	-4.06079621866775	3.08979360890407	-0.259401574406184	11.1280805610068	4.59524808257265	12.3069812953363	68.0672708804032	68.0774216560822	250.77246849898	-8.11309516435267	-7.30583607233166	-10.0751881913411	-8.50714361982682
	9	-20.4251594744446	-18.2538686264525	4.04636432777716	-0.888874617889996	-12.8403264625704	-5.10521952735598	-5.01661376821176	54.8513629880281	7.01061926579177	-19.8401954810706	-15.5368321548258	-21.6571184616869	-11.6542520314106	-6.19751294974139	-9.75255567915701	-4.85311500041189	-8.39547017500081	58.510410898677	-1.92200390150629	-1.37251940845181	-9.4466199016033	-11.7661565732915	-13.273619001302	-7.77504291172136	-9.93144822167415	-6.74058693440475	-7.02703967324305	-12.33921857328	57.0477331390539	49.3050250617725	-5.67217544302548	-9.31190105270252	-6.9894753081262	-6.20193424855734	-4.11065392175078	-10.3227349530644	49.1464858976415	42.9471284866477	1.96826596798383	-0.189942281473122	38.676046613371	55.2180292029661	59.5092075765942	29.1931365547243	40.2951474226793	62.009362044545	56.2977849179597	51.9425544431087	64.8274707468026	-10.4717386652756	-8.217328892968	-10.0455839936303	-0.189979976697941	-10.7945922160288	56.4906848532437	54.499153931326	53.116856315537	-17.0173717699099	-13.0509566682485	-13.5872367287329	-5.51864774231944	-9.20714493419291	0.846754794475601	51.9063409904265	60.3286491577137	215.892865377341	-18.6987878157124	-8.41185023910657	-17.4218401241651	-22.5959116993918
	10	-25.1799723235627	-29.0992532700284	-5.51634367235602	-12.9880349109635	-23.7326388910169	-15.7850258194421	-14.2650001826578	37.4998766476533	-3.18348298283763	-28.3846959855246	-20.2460174453709	-27.54468433907	-18.0715719479567	-16.7146313826406	-14.441990367709	-18.1917144406953	-14.0970680184282	47.9282358573982	-5.08456564276003	-8.70567859275161	-16.0390083996963	-16.0957067612544	-20.5937127181605	-16.1609588207093	-20.2733336541141	-10.4873724481859	-14.0554593614879	-19.0247910388753	46.0669025250381	40.4348060288003	-12.4721430176551	-17.0879203948043	-15.6446088851262	-10.5428710611031	-13.9008877567294	-18.9854669243396	41.5879880617949	37.7861867912761	-5.09481033998964	-12.7035808553519	29.6377193292983	48.7210040429136	47.049276102206	17.5638778133598	32.644073919495	51.3947069008709	48.1078914893824	44.2387006977133	46.9863904386848	-21.3646967880713	-14.8943218762915	-14.3534595095398	-14.5551276707038	-10.772440242552	44.2845630720285	46.9738069655941	45.2041542067382	-30.486095955881	-15.8375701507111	-12.8370165373417	-15.1714408967237	-16.7146317769511	-0.506286111477493	44.3145074104859	46.3992332506596	198.061172886186	-26.9063208256275	-23.3338761748419	-24.742092754911	-23.3939751533626
