Well	Fluor	Target	Content	Sample	Cq	SQ	tech_rep
A01	FAM		Std		23.23176612	0.38	
A02	FAM		Std		23.16556156	0.38	
A03	FAM		Std		22.97348911	0.38	
A04	FAM		Unkn	567	36.24263127	4.79E-05	4
A05	FAM		Unkn	567	35.60588705	7.46E-05	5
A06	FAM		Unkn	569	37.07736798	2.68E-05	1
A07	FAM		Unkn	569	37.08459567	2.67E-05	2
A08	FAM		Unkn	569	36.07688195	5.37E-05	3
A09	FAM		Unkn	589	NaN	NaN	4
A10	FAM		Unkn	589	NaN	NaN	5
B01	FAM		Std		26.74611968	0.038	
B02	FAM		Std		26.34519091	0.038	
B03	FAM		Std		26.54815443	0.038	
B04	FAM		Unkn	570	35.21327406	9.80E-05	4
B05	FAM		Unkn	570	34.7389761	0.000136293	5
B06	FAM		Unkn	572	34.71157655	0.000138916	1
B07	FAM		Unkn	572	34.36258222	0.000177088	2
B08	FAM		Unkn	572	34.57676588	0.000152574	3
B09	FAM		Unkn	591	NaN	NaN	1
B10	FAM		Unkn	591	37.09208708	2.65E-05	2
B11	FAM		Unkn	591	39.21443378	6.06E-06	3
C01	FAM		Std		30.01999929	0.0038	
C02	FAM		Std		30.04557956	0.0038	
C03	FAM		Std		30.01527785	0.0038	
C04	FAM		Unkn	573	33.9972836	0.000228323	4
C05	FAM		Unkn	573	33.70442508	0.000279916	5
C06	FAM		Unkn	575	34.32586636	0.000181669	1
C07	FAM		Unkn	575	34.44848205	0.000166815	2
C08	FAM		Unkn	575	34.57658621	0.000152593	3
C09	FAM		Unkn	592	NaN	NaN	4
C10	FAM		Unkn	592	NaN	NaN	5
D01	FAM		Std		33.7100701	0.00038	
D02	FAM		Std		34.02665291	0.00038	
D03	FAM		Std		33.3576165	0.00038	
D04	FAM		Unkn	576	32.60028898	0.000603397	4
D05	FAM		Unkn	576	32.77232404	0.000535339	5
D06	FAM		Unkn	578	36.20099443	4.93E-05	1
D07	FAM		Unkn	578	35.56049863	7.70E-05	2
D08	FAM		Unkn	578	36.00929807	5.63E-05	3
D09	FAM		Unkn	594	NaN	NaN	1
D10	FAM		Unkn	594	NaN	NaN	2
D11	FAM		Unkn	594	NaN	NaN	3
E01	FAM		Std		36.87723135	3.80E-05	
E02	FAM		Std		37.37972122	3.80E-05	
E04	FAM		Unkn	585FB	NaN	NaN	
E05	FAM		Unkn	585FB	NaN	NaN	
E06	FAM		Unkn	585FB	NaN	NaN	
E07	FAM		Unkn	Plate NC	NaN	NaN	
E08	FAM		Unkn	Plate NC	NaN	NaN	
E09	FAM		Unkn	Plate NC	NaN	NaN	
E10	FAM		Unkn	595FB	NaN	NaN	
E11	FAM		Unkn	595FB	NaN	NaN	
E12	FAM		Unkn	595FB	NaN	NaN	
F01	FAM		Std		NaN	3.80E-06	
F02	FAM		Std		38.1926033	3.80E-06	
F03	FAM		Std		NaN	3.80E-06	
F04	FAM		Unkn	579	35.80812497	6.48E-05	4
F05	FAM		Unkn	579	34.90161087	0.000121714	5
F06	FAM		Unkn	581	36.08992903	5.33E-05	1
F07	FAM		Unkn	581	36.67639023	3.54E-05	2
F08	FAM		Unkn	581	36.79636771	3.26E-05	3
G01	FAM		Unkn	exBLK	NaN	NaN	
G02	FAM		Unkn	exBLK	NaN	NaN	
G03	FAM		Unkn	exBLK	NaN	NaN	
G04	FAM		Unkn	582	35.37493957	8.76E-05	4
G05	FAM		Unkn	582	35.13640861	0.000103372	5
G06	FAM		Unkn	584	37.64429594	1.81E-05	1
G07	FAM		Unkn	584	36.50733643	3.98E-05	2
G08	FAM		Unkn	584	35.9992992	5.67E-05	3
H01	FAM		Unkn	MM NC	NaN	NaN	
H02	FAM		Unkn	MM NC	NaN	NaN	
H03	FAM		Unkn	MM NC	NaN	NaN	
H04	FAM		Unkn	586	NaN	NaN	4
H05	FAM		Unkn	586	37.07641296	2.68E-05	5
H06	FAM		Unkn	588	37.11516482	2.61E-05	1
H07	FAM		Unkn	588	40.2963611	2.85E-06	2
H08	FAM		Unkn	588	37.19757612	2.46E-05	3
