	Cycle	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
	1	179.56074284334	155.540355757322	167.581767866434	204.398586570625	211.720166380063	323.985837657562	286.391047741096	216.25430287606	231.920343698018	276.108874657688	275.798511876818	264.774554110882	209.127202550399	240.604591948196	251.491689878654	285.815249328469	299.377918175453	274.091272640962	255.071986417067	268.655590987088	251.665820559033	284.860791191246	336.921180038938	284.031301986109	221.602063584985	240.202644857174	254.344638296139	290.629216888849	272.607672938386	285.252245702142	299.126367994219	311.135428860277	384.384699183186	393.772762478293	400.018112689985	390.83319024978	249.986946610768	288.536725761151	284.580868270989	296.070677195576	311.850158086567	289.789923566795	296.328628719762	309.521945184308	358.469472483979	393.876130510197	433.739517870895	370.202809639864	266.094691843918	295.666630065795	323.585739429544	425.968766174546	397.848766117332	438.482778023512	385.328050394454	439.511230554902	462.39792454875	396.98309706138	400.572952850561	272.498323036973	365.317399205202	359.590722881918	318.334322434319	293.680648212652	327.756062331721	341.489553545535	310.913703582946	273.965269931054	294.581724122507	352.096236941796	384.732197290808	531.629127839569	308.347686425758	305.879177273016	326.233595147241	310.21878413456	331.018608151793	322.289697913144	359.749243084386	341.707012035553	176.920328304418	351.367867191751	395.308141989593	467.805498894055	369.12907564632	423.239355566643	348.461812341493
	2	134.848357329361	140.884444403026	140.205283311449	171.270962271483	159.814302775435	270.366322099386	214.341123585108	157.509205889341	181.023923443636	234.000779941605	230.565821865322	201.45178079204	188.061427717244	210.718562558925	217.755273416314	235.157636989459	240.50032562123	210.586152810813	209.050797928231	203.771118042911	210.439920837118	254.326312279916	298.858994159923	256.030998564056	187.36798749856	209.276790244629	212.968962165258	226.043825495684	228.55376927275	245.063570574899	243.113788852383	256.374462667281	280.798002983079	341.546176776291	348.77213188716	329.789593564416	203.879861061799	239.760045909631	235.865145732295	231.32212471408	257.191682828224	241.220400219262	226.983176244225	252.202301204613	256.294902748667	351.835526076867	381.988791916954	311.961645293532	217.420581545638	243.201141179839	254.612597151893	349.955737571448	332.24752740743	358.219918585501	320.313040200961	358.02899796491	379.482718204217	324.993033111006	321.594410703501	192.476729399642	307.863711443063	297.442246106936	258.037354570333	245.207667574356	252.162704117452	262.654992425545	238.982507670432	218.360010961879	242.915715655103	303.061397524591	323.212139712618	423.60762007326	232.309126067124	233.32099408982	246.352519931635	228.626317133054	245.063999230616	247.9385745021	294.986035198057	292.980821368701	145.880255960189	290.377032951254	336.277837301061	401.499669634056	303.344468482878	359.379830879115	259.111944088583
	3	83.7448213919488	107.416439479078	108.896681444222	109.301113517921	122.825672411902	185.565005959914	151.597525406621	112.590609950839	135.148861046978	186.372396693661	178.79866928697	168.323053401141	156.79157578331	160.29642855181	163.289563921123	159.049609344307	163.336874157234	157.450243566525	143.636933708768	145.524511821324	146.971028675992	203.42962125104	245.742558496563	214.845787069897	150.146687480672	161.577894601783	160.590693949847	154.527188567303	167.263879621873	172.996489193526	167.986111437282	182.562828523955	177.302657481176	303.384174882619	293.97653845649	286.463923270518	166.776139414449	188.628310175332	187.319334119435	159.001781866145	188.675326416314	185.155134874084	162.025746648291	178.605209958005	182.618866454218	296.108354241354	325.229324052039	266.07525882344	170.703270006832	190.537276031037	205.607568597306	266.303619155757	253.224561613248	281.334361169198	239.339174297347	274.862013524701	300.561963310975	238.923679694005	253.7866315725	130.726653569045	247.923726428061	248.976795013291	197.661493715153	165.028016954742	177.723691274889	194.060913434633	168.877367542934	161.335365701133	170.887286854319	256.115083014423	261.941536179127	333.186828900512	158.818153638849	170.776977871225	178.877896134432	171.614269473521	177.314003683626	178.489726095498	241.908251166263	242.03181779645	121.36000831783	229.619976112342	261.393030685206	326.292685567937	256.132270664048	294.49460477812	205.293112004004
	4	51.1896743160059	69.6502504492355	67.6770358271997	82.744574850316	108.684590656205	133.022266435419	121.060307077778	87.5238585463685	102.036151683845	154.753297974969	156.410978286371	145.066831961334	118.529796396217	112.228027186952	115.395280835022	111.79419742123	119.10226431349	122.666619448537	101.818934340296	109.835201166714	100.64413963382	157.276982024434	198.160931239227	161.525559366656	110.783856623506	121.634365082589	106.554812570003	112.589043873261	97.2581058012065	105.557358398082	104.545143433704	124.604864254359	125.9684664329	253.534975757191	229.072334080144	243.664611012058	133.669616786929	147.225661242526	142.178019938767	110.067053347169	119.646758755829	125.095109610263	112.989793938993	116.169933548186	110.717032360782	249.596594498048	271.111402769059	228.182782572765	121.225871568567	145.181445848798	148.594970856676	206.786894772889	213.189652599834	207.210354113065	191.635624179703	213.780114662308	241.741841272499	198.074286582093	217.976933050055	118.376669652142	199.866554559745	200.799645679557	144.685378031043	102.843079227899	111.342980922991	119.773972280996	112.127282036596	113.656380535803	121.585915062898	220.670594046049	212.855218698627	268.505384698979	116.391086065781	115.148301328622	115.531695000739	103.243815421794	115.690054669583	114.956185879573	209.508191329297	203.466130933779	97.7861319347421	191.855350491575	204.161462796406	266.953030342176	212.272861332314	234.828079569743	165.723996854761
	5	40.1272187505238	37.7844864297613	34.2656789852781	60.8537327455106	76.1787547226031	93.3347786806044	86.4466013822212	53.2390189237531	72.7360221818308	136.384777805745	131.026530143208	130.932316930658	65.2160188822245	67.1828418654868	70.7339678991129	74.4905119746991	79.5845234883664	82.8717691656666	76.7094403505844	73.3435687415213	71.865310188763	134.220606185503	148.526968956058	139.767719262514	71.1173416228576	72.3166084723171	67.1362173941643	75.1986026863051	60.5238418474673	69.507229794639	67.8281368232638	80.5670792483461	91.52573480296	212.178030846823	172.185760768592	194.409336885544	81.9075804024915	97.0517025110321	98.5725580943872	67.1258908331429	81.8515375583675	66.2284505398757	58.4167287746895	66.4572071543698	75.5682054159643	198.402497080597	227.376490433805	174.907669569818	60.0336710643869	96.1701060389842	100.586290442006	169.510614883127	162.650722691484	158.336108112249	151.43644769214	150.738396207596	176.280287782981	171.920705823797	183.387976402041	82.7588929172953	141.214099543243	151.781695936932	83.0321041681173	66.1738131965549	61.7991221119946	62.4438864146787	73.136494590728	65.3980858814357	73.310654815662	187.144417013957	178.477881152047	218.439755492419	74.9360009270586	50.880580837922	69.5892372073831	73.744530001808	78.317799038653	68.3004791328576	173.689222170039	171.483313788685	84.0175710460844	159.583248383023	166.778032336438	225.185790317263	176.273862027148	173.241734100577	126.889749219494
	6	20.0464434452606	9.64031938753578	7.373079922334	42.4722811275697	55.0030448604766	68.712658448384	60.9292936745096	27.3686042708068	49.2326746081353	117.410882698298	112.082294660688	112.696219136432	29.4232992999314	28.4866565414595	38.441842711316	43.4304551247042	50.7681113145409	52.8582194049832	60.011442109284	39.1642215855636	46.0163433336111	114.858990797607	122.069359117862	116.563991679001	42.8477877124569	45.3068878174226	31.6489849212476	48.8880373442571	22.6183417679476	36.5728262839993	47.6482492330597	53.4483781345261	48.9720379374094	157.714356223175	156.390734036981	145.50873005491	61.2479994140367	50.7442294974917	61.5804940845874	33.6626041140971	45.487598728595	39.5437960141835	37.5222974289109	41.918947641977	42.6682486974978	153.966681651208	170.61582788407	140.799030090092	20.1919190699773	52.5213962381004	60.8334992449927	135.033952272643	125.770777629756	118.597779239606	122.240558853229	117.444947604785	166.22731462967	148.816501163071	150.257130397663	61.3376736015989	118.55400915563	127.515757152593	49.1411852916517	38.5872868734123	32.3564000609158	39.4622127181819	43.1367393125111	38.7897564245131	50.930857943792	154.433402646428	144.00982563627	181.59748837705	51.3580773281055	25.9848460595767	46.7821564209125	46.2550793467626	47.5184508155517	43.3469337001043	150.161385214283	143.985042129471	70.8412308647394	126.616018749461	131.32882669014	189.059720811482	160.517461234007	134.684912735556	111.573323890923
	7	6.21157671545552	-7.30204117037738	-8.22453621205477	26.342227610663	36.907477062593	40.6207201404213	27.5800544071108	8.88717348532464	26.5463698109352	102.581662334648	94.4021458564721	94.8831397559661	2.8358485592762	4.96126953906969	2.13017837011466	19.8663253551304	27.3710941374757	27.1059468424646	38.3348787186378	10.9423190742427	17.214206527532	88.280701112566	102.488199280531	96.7014713409071	5.51016011997854	0.711293328898137	1.17213993680616	20.7022775743653	6.90576146454532	21.0590199101252	15.7436927379558	17.2859947349098	24.5604459079432	114.97875743511	113.755710893872	112.530360191975	25.9612152012423	17.8079997218283	17.8590314116691	4.07900889971734	13.0190374421509	5.01271054876815	12.2001275691619	7.497039566495	16.5135642132718	123.020526061936	124.530596970987	116.145218465766	5.3407704416677	19.9047737934734	19.0587231170166	99.326038043102	97.6740789377254	103.287628217749	91.417305297834	92.4356477070714	140.179205737012	121.665360897573	135.96740189548	42.3760043884067	97.0257922785167	104.816280834837	24.1540532185045	14.7491748661705	9.01535595558744	7.30759525831854	16.3469059867493	20.0451179450556	23.3211637699478	132.016923600461	120.321642159452	155.656540726128	26.0083761296837	4.11454000743925	16.6030736050943	13.1826218957895	18.4963050577253	19.8817425644411	114.396608625581	122.127461313722	58.8617366809176	106.544962561656	114.639311329783	165.30590660017	124.48204185876	100.29894214517	110.362764043437
	8	-19.9025454285747	-30.7680001732133	-26.9412579922018	6.48952167770403	13.4448791668865	11.2531020731094	4.73113761399873	-6.62388284328881	6.39484733148674	80.873056953511	73.4861511424115	75.7260471680293	-19.0734963167297	-14.437226500494	-23.6797757994664	-1.755373764875	3.65436737624441	4.51947298560663	15.168886622997	-18.8588273874075	-1.79794792821576	67.6044218691741	80.1458506693107	74.9295063492082	-21.2866466844689	-29.3604539959806	-19.5931533987105	-5.3194834286669	-16.4485390871259	-0.0184162314908463	1.53132273530991	-15.88019531597	5.26163613419885	94.7854381322113	99.4739159459659	92.9970261970475	-3.86058646030142	-6.90170924847007	-8.59024595010578	-19.5790796625079	-10.8166903941137	-17.0727596788502	-5.82737234775959	-5.19741975547822	-9.20907898224323	96.9877391227046	111.438632203464	87.9782413250359	-7.58061766915307	-11.2547476800273	-3.49985545466552	70.2134614849283	69.5880819096037	80.5995999625229	66.0591111296089	76.8354462209027	118.440512945987	99.1792365246247	114.273020817248	16.6566147792446	77.7975272528238	91.4482532932434	3.11915910719563	-4.16097053793055	-7.33474944912541	-4.22492688052898	-0.297295770432356	0.0628614963479777	-1.33234765404723	111.702404800209	92.9260157312938	128.491664037047	6.55839909282986	-10.3842727311485	3.8397352861557	0.811218332791213	2.40718705026484	-5.59717104093397	96.6265272731598	93.196474800282	43.5560685049277	104.521147206533	81.8575191724804	121.935236152761	99.8790383082614	75.637204247977	95.5200175312357
	9	-31.4232060604018	-49.7616573212581	-43.2623231437756	2.3861746464836	-6.26880081121635	-3.25842785983514	-14.5391393712544	-10.9473195801656	-9.90249002165274	70.5781153568305	63.7325820081933	61.8301538758606	-37.5382674670145	-30.0604274692905	-32.1632694927494	-11.4649374407381	-9.06964665466694	-14.1735686288939	0.66960756899789	-19.1720668640473	-12.4736771535909	60.6267339552187	68.1107700310995	70.2894029694726	-34.0957201467054	-45.0883364541205	-37.0832657973742	-14.2607535262096	-22.0256929571588	-7.69686659766739	-15.2942392643799	-22.069463234363	-13.2863710617876	77.8935597693753	80.5532795146728	82.4973957061338	-11.7138466885926	-22.6305866392231	-25.5986956048009	-29.7586665625413	-29.1418965666944	-27.112851085124	-16.0968886452692	-20.1236110025966	-11.6362077146096	85.3392466764171	93.2752358475082	74.5628170218743	-9.53722606488464	-24.323458634286	-14.5805167890721	52.0797397856259	53.5458922904481	67.7065866158282	59.6209970533564	66.3251258285436	103.500056826164	80.3361488772971	95.5792425147329	11.1968184246371	66.326199681097	72.5362032013527	-11.9174305861288	-17.5734024558487	-20.0418142734261	-22.6815677254763	-19.0946976882715	-14.6328818865686	-7.7511501001336	96.0427123099435	80.3454841122539	105.586894426053	-9.26174823224483	-18.3858636419009	-14.6926553305611	-11.4918220342624	-15.1653461417873	-18.4532639078552	73.7314070941084	82.5782570958481	36.7172160346518	93.1542585487296	75.027811496192	106.081653150078	83.2983584360672	62.8621390169237	80.2451097909943
	10	-51.569175597273	-55.6507415711567	-52.6043754374059	-11.4323972205739	-22.1577370625719	-30.3515777198854	-28.1714307319908	-19.6759923439013	-19.5368951078653	49.7130189907848	50.653480407429	53.7836823245125	-52.3880853378523	-50.9304054515751	-54.8040677412246	-29.7735783525222	-28.0780904855146	-29.7395090973987	-21.7185050899297	-33.1319084302013	-33.4958610563335	46.0633858765159	56.2580759983439	53.0283638771698	-51.6627366723078	-55.823624446014	-49.0270853854481	-25.8335476411885	-41.7630485016052	-26.8008113595315	-30.7014944536859	-42.3784314790437	-32.1117276986852	61.1980918933532	56.6625674859342	57.4971864956142	-27.902270367922	-34.98304834594	-42.4391134987336	-35.9705839698008	-42.7613984530708	-42.5709788396071	-30.5229664116559	-42.3610291907517	-34.2023349304563	56.4417069951878	62.8848983251037	57.4392920160381	-15.7386246251672	-40.3261641450454	-42.3038924921293	22.8888554988353	22.2268752870823	45.5466608286088	35.1581847482721	44.5483725317008	77.5424391678907	61.8206344901319	72.1001820074034	-14.8370037361938	48.7670659722307	57.2103361968329	-35.4072455540781	-28.8323426285897	-37.8766003809405	-33.015759518119	-28.8091514921798	-32.721661356235	-31.3126800542041	70.9048951551295	62.9674867431122	80.091569064668	-20.3229462181844	-34.4079220676194	-30.8851709837363	-22.5472965837034	-28.7033858023615	-34.3740802079701	57.6308899454625	61.3106814510802	25.8549622814162	76.5664019406868	55.0501049803506	73.6633410746399	58.4468712697671	47.4038394426598	58.6585174728989
