	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	salsal_std0	20.5069709972306	5.4
	A02	FAM		Std	salsal_std0	20.4720410734472	5.4
	A04	FAM		Unkn	569	32.030921340038	0.00207627325684152
	A05	FAM		Unkn	569	31.8911053305536	0.00228754706685616
	A06	FAM		Unkn	569	32.0747238277522	0.00201418647943583
	A07	FAM		Unkn	594	NaN	NaN
	A08	FAM		Unkn	594	NaN	NaN
	A09	FAM		Unkn	594	NaN	NaN
	B01	FAM		Std	salsal_std1	24.0831225415606	0.54
	B02	FAM		Std	salsal_std1	24.0285776682379	0.54
	B03	FAM		Std	salsal_std1	24.0578679872228	0.54
	B04	FAM		Unkn	572	29.4127370463848	0.0127460323098688
	B05	FAM		Unkn	572	29.1905035106365	0.0148685547039302
	B06	FAM		Unkn	572	29.7699137937159	0.00995090294658166
	B07	FAM		Neg Ctrl	nc_plt	NaN	NaN
	B08	FAM		Neg Ctrl	nc_plt	NaN	NaN
	B09	FAM		Neg Ctrl	nc_plt	NaN	NaN
	C01	FAM		Std	salsal_std2	27.9341538277201	0.054
	C04	FAM		Unkn	575	29.7667358904303	0.00997284478990349
	C05	FAM		Unkn	575	29.6940062076013	0.0104884465108081
	C06	FAM		Unkn	575	30.042793497708	0.00823614387097303
	D03	FAM		Std	salsal_std3	30.5677097315163	0.0054
	D04	FAM		Unkn	578	31.0617730813055	0.00406447485170744
	D05	FAM		Unkn	578	31.0328382381521	0.00414680885066857
	D06	FAM		Unkn	578	31.3023001433185	0.0034403626992916
	E01	FAM		Std	salsal_std4	33.6981133491016	0.00054
	E04	FAM		Unkn	581	31.872534440145	0.00231718120585118
	E05	FAM		Unkn	581	32.5536671862206	0.00144522215204231
	E06	FAM		Unkn	581	33.9260843241099	0.00055824921749918
	F01	FAM		Std	salsal_std5	NaN	5.4E-05
	F02	FAM		Std	salsal_std5	NaN	5.4E-05
	F03	FAM		Std	salsal_std5	NaN	5.4E-05
	F04	FAM		Unkn	584	34.4035957080944	0.000400953574880056
	F05	FAM		Unkn	584	35.0433571921573	0.000257348547458078
	F06	FAM		Unkn	584	33.2789483687332	0.000874219029003256
	G01	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G02	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G03	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G04	FAM		Unkn	588	35.8831213999778	0.00014379614116296
	G05	FAM		Unkn	588	NaN	NaN
	G06	FAM		Unkn	588	38.5729432912858	2.22891416319447E-05
	H01	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H02	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H03	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H04	FAM		Unkn	591	NaN	NaN
	H05	FAM		Unkn	591	NaN	NaN
	H06	FAM		Unkn	591	NaN	NaN
