	Well	Fluor	Target	Content	Sample	End RFU	Call	Sample Type	CallType	Is Control
	A01	SYBR	NA	Std	salsal_std1	19716.7474455708	(+) Positive	Standard	Positive	False
	A02	SYBR	NA	Std	salsal_std1	23326.0320269321	(+) Positive	Standard	Positive	False
	A03	SYBR	NA	Std	salsal_std1	22381.10347289	(+) Positive	Standard	Positive	False
	A04	SYBR		Unkn		-1.05529593981009		Unknown	NoCall	False
	A05	SYBR		Unkn		-1.26614823592136		Unknown	NoCall	False
	A06	SYBR		Unkn		-1.86007285755695		Unknown	NoCall	False
	A07	SYBR	NA	Unkn	567	17877.2132527954	(+) Positive	Unknown	Positive	False
	A08	SYBR		Unkn		43.7338734319785		Unknown	NoCall	False
	A09	SYBR	NA	Unkn	568	17828.3770528985	(+) Positive	Unknown	Positive	False
	A10	SYBR	NA	Unkn	568	16256.3020564424	(+) Positive	Unknown	Positive	False
	A11	SYBR	NA	Unkn	569	15328.5546700909	(+) Positive	Unknown	Positive	False
	A12	SYBR	NA	Unkn	569	12493.4755250261	(+) Positive	Unknown	Positive	False
	B01	SYBR	NA	Std	salsal_std2	19921.5994743683	(+) Positive	Standard	Positive	False
	B02	SYBR	NA	Std	salsal_std2	21084.1665118617	(+) Positive	Standard	Positive	False
	B03	SYBR	NA	Std	salsal_std2	22505.4575534411	(+) Positive	Standard	Positive	False
	B04	SYBR		Unkn		-0.86023033673273		Unknown	NoCall	False
	B05	SYBR		Unkn		-0.625253168631389		Unknown	NoCall	False
	B06	SYBR		Unkn		-0.830527603550854		Unknown	NoCall	False
	B07	SYBR	NA	Unkn	570	19960.5384779898	(+) Positive	Unknown	Positive	False
	B08	SYBR		Unkn		49.9926782459264		Unknown	NoCall	False
	B09	SYBR	NA	Unkn	571	19092.2717685525	(+) Positive	Unknown	Positive	False
	B10	SYBR	NA	Unkn	571	18712.8835265428	(+) Positive	Unknown	Positive	False
	B11	SYBR	NA	Unkn	572	19866.5365167455	(+) Positive	Unknown	Positive	False
	B12	SYBR	NA	Unkn	572	18202.5745143405	(+) Positive	Unknown	Positive	False
	C01	SYBR	NA	Std	salsal_std3	18113.5752345448	(+) Positive	Standard	Positive	False
	C02	SYBR	NA	Std	salsal_std3	18000.6402489981	(+) Positive	Standard	Positive	False
	C04	SYBR		Unkn		-1.32463521723294		Unknown	NoCall	False
	C05	SYBR		Unkn		-0.772653050286499		Unknown	NoCall	False
	C06	SYBR		Unkn		-1.41039081279441		Unknown	NoCall	False
	C07	SYBR	NA	Unkn	573	19987.4963055022	(+) Positive	Unknown	Positive	False
	C08	SYBR	NA	Unkn	573	19596.8625000516	(+) Positive	Unknown	Positive	False
	C09	SYBR	NA	Unkn	574	20453.4499661697	(+) Positive	Unknown	Positive	False
	C10	SYBR	NA	Unkn	574	19566.6068393636	(+) Positive	Unknown	Positive	False
	C11	SYBR	NA	Unkn	575	19315.5024857148	(+) Positive	Unknown	Positive	False
