	Cycle	A1	A2	A4	A5	A6	A7	A8	A9	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C4	C5	C6	D3	D4	D5	D6	E1	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6
	1	158.727105206747	184.87872853296	252.873961379143	236.458534851411	228.670211391735	389.426021394631	335.14877815633	352.966046156316	191.224362720624	234.307583524032	223.92051515538	237.834061839359	221.546921175544	283.200442308656	353.583367943596	368.697860008773	362.036182398264	152.018955188636	308.871005719627	326.481259728983	318.384399665339	328.802179148605	239.494840484912	293.26169346169	279.737832242191	289.531753002952	343.918312752099	354.822504326839	344.54433712716	463.015393795919	374.242434349299	530.709742342767	215.322721358234	336.725327494833	309.364808673648	389.305137047148	423.092453029936	510.361108979226	333.732487894074	499.534804690288	414.413740935206	344.459099000848	287.173791031583	430.74994017194	347.954169931419	372.349442984319	344.90902731707
	2	113.140135190901	148.668127108558	196.553556073209	207.073345919912	170.953461959277	325.798738435938	272.569070144641	305.43487779931	166.99010321993	198.704918452539	181.080076108773	198.915140083769	189.951078933627	242.644225585622	295.008078245927	306.018481894177	280.760543896804	100.36006250092	257.52758877425	271.798627747587	258.633401407222	271.333089751091	198.884699883369	225.847922748756	215.033356788436	227.547209701752	274.657108266934	284.513536039687	279.587609037333	398.044147070574	322.9557361814	432.825980446509	157.744878743575	259.864765302255	222.242678146029	328.828673856402	356.614026949724	426.91825924578	264.281646906353	404.272843114727	322.528173261397	270.750458450719	208.471003634768	356.09241402194	290.466929426043	308.305330809835	291.906679295513
	3	82.4743446505672	102.968252222819	131.096512513287	145.287880652062	120.929854403197	269.758669816109	231.96966771745	265.067927796376	140.562908392252	156.543369695231	151.477935039024	152.255768601481	147.656700905736	179.322281858147	226.061570268299	244.524760546581	218.50672260285	157.218491021222	188.318523263896	208.177452691883	196.779214890816	210.906711602484	154.147450859577	159.105224890457	158.152852638078	194.705818393244	218.634662156714	224.87932659835	208.309498270094	346.733174238028	275.665101495378	350.271315930805	115.81025460081	212.003944169169	167.643298011588	288.11065422084	308.6579170848	358.723953809574	213.090208900375	337.211028853288	271.7875400659	233.706679706281	151.619425977548	277.88532790432	253.027252349785	268.291355511744	243.637279630599
	4	62.4798716114865	73.8310327636564	106.534648442202	121.924335082833	96.8521925628993	208.419249926311	187.898818120211	218.273357300453	110.058689406967	120.690930957451	116.170403921517	94.4338066702649	94.4104163560123	120.940131416598	172.283978623735	185.40791920889	181.123659125319	125.211907906106	136.487274173866	154.362151502889	133.517360259161	166.884858382585	99.5895469770276	106.177745289953	95.6855049892001	154.831220601052	146.928974938681	166.125337397577	137.110120296233	296.19504703445	228.610231599507	283.017759643652	79.6594106256307	153.561014509596	116.908140180053	241.332654547748	254.31253908571	294.129968050443	156.968549371105	278.480433764614	210.346319674884	198.108483030429	115.902843917382	243.530509410482	205.293963139441	209.940091122043	196.969752516603
	5	39.4248150194517	41.7746975918926	73.6905740488319	82.2202783128969	70.6730015631956	169.794199175195	138.648294285605	154.282639079776	65.4115889477907	77.1875211574315	70.0557054415476	66.7279088488731	63.8667932616308	87.4694920204092	127.70813826373	151.478695115313	139.587782803306	90.116447669966	95.8436921548282	96.3394016138309	81.7041564729352	125.268446268774	60.7145727476272	70.0098143896757	60.5331582112158	117.692318149147	91.6286789998603	105.412262518027	86.8250551476358	244.04028388977	177.086441408991	213.265588603836	52.1698132208467	91.0145418395941	65.6876013100773	190.503796439256	204.595110746624	236.925481758975	104.894821356403	219.474708117466	173.960029450135	164.914751820388	87.5221011095728	210.123037626849	154.615703749121	167.125898163886	158.480042215117
	6	19.180578069132	9.6651900249617	50.0750810476748	61.7221882409649	55.7848955039808	146.301329140141	111.720420017954	121.987058759314	33.7892862036015	32.6201756339524	43.2518549894949	32.5027826880405	37.2779280352424	54.1032461339973	95.107306679286	122.885247703627	121.107749717373	53.6672865477194	65.4916516111834	52.6580759952913	39.1336808629585	72.1243564469942	44.0417565108155	45.0958940993123	33.162518292761	65.8675904084921	57.6641724865185	66.8101232650451	58.0440773725204	196.315415428601	136.642997858858	152.83322132225	31.437988203541	56.1142999149606	38.6668439024597	155.699829901447	160.68713244453	184.334310523335	63.324836577619	181.633547026961	134.957071999051	135.573336249121	60.3638355704434	172.745197730773	124.261006995569	133.60467885631	137.117696998767
	7	-0.169200622031894	-6.91872256369152	26.6301229387545	34.5451420210602	36.6096311784977	116.009593973848	96.8704045958693	98.7341445717075	2.36525987413825	5.74527484162354	4.03854818189666	8.72603410117335	11.3204940845062	29.1374427166093	68.1702678841903	98.1170656896002	92.8208487008551	20.411630617743	33.1939496864916	27.9859001426139	10.2590005491511	35.2389919702327	20.5323255799922	25.5033191532411	14.3221140833957	30.8963068467065	30.9132982995952	24.4744658203763	28.9228578832599	151.771819579333	108.175247410817	122.411759576734	18.0002706324703	25.0251368739027	15.8640290589119	130.636913659892	116.935510188024	148.093190349551	22.8321942424982	150.284092259074	108.454302996948	104.955021374546	39.6191720523066	147.538684387573	98.3356405993136	109.745624843142	113.717150185137
	8	-19.543938208385	-33.3341368765341	6.22371296930851	8.01487873158021	10.3525838400546	88.7840400861805	71.7953511960168	75.9047698375625	-13.1255401271328	-23.217863996003	-24.6172676823107	-11.037909868819	-5.49801359069443	-2.16306455362155	46.0217574471017	80.2788090189515	64.4563358090618	-9.05705887491149	11.7170556003512	-8.03057003372214	-15.7599826297437	-1.57743790214772	8.14677599005699	1.33848733001832	-6.7373216310134	-2.23343589355318	2.35311517877926	4.63216850495155	5.09982725937061	117.785232212128	88.6342124962148	80.4895168984413	4.03916842055787	0.945005498861974	4.22496663751008	106.811081595438	85.9774395185668	113.946715116353	-0.477454844376553	130.163689631925	89.1711894668069	87.1815587618412	22.0321948114597	116.222283459041	73.9226696465394	90.6068948992697	90.568984495364
	9	-28.8761264663262	-45.974742690466	-9.55738859729263	-11.2475629279152	-9.33420892786125	75.1885528540979	56.9478548539792	63.3263917209197	-33.6777404538643	-39.5487164057568	-42.0349708372087	-21.0632545672925	-24.1719970595695	-14.9823261795409	38.0953563203975	66.9351069768591	57.5712996102993	-29.4027893840721	-15.4534219958341	-28.5097063744406	-32.013537373502	-25.8294043432006	-9.31435759160195	-12.0604385759925	-21.7246473174491	-17.0931047708864	-17.2324049133294	-16.2757586612161	-19.4741896358191	96.3387468261844	71.236367959239	60.6637858188433	-7.77969483455672	-13.0672658880203	-15.3828759357666	76.1213901111178	72.1460118950281	95.5722240801315	-23.749306204093	98.2110054409541	57.8865222571649	64.5569386863635	-1.39278320284575	94.5395687195914	63.9305611408863	72.6515284114485	78.7376691574927
	10	-43.7551276688309	-52.3690600664622	-21.1171956561293	-28.5507282856815	-23.5508973894221	53.048997443977	41.4296726104731	42.6907300731164	-45.0937951842552	-59.0345061222943	-53.73173707775	-38.4081135910283	-43.0544900227878	-27.6954399836386	43.1842747726623	50.1876033618964	38.0275356762077	-43.0573446565877	-34.6034324867369	-43.5045647297766	-43.8759992832083	-47.6468515049628	-16.4158517259702	-29.5075167196146	-28.6382901522993	-31.5813071435969	-32.9239117143306	-36.6180909988307	-25.918646185798	78.0740944775853	56.79547910778	38.5001895364849	-10.7238773653571	-33.006307741839	-28.0468625790509	61.0372761783883	55.162021508444	73.6905031234619	-32.5468111393611	74.5807184075693	47.9622220842512	44.9190100059514	-13.5898513486054	75.4615803360584	53.3599630568615	55.5767536196017	60.7423348128123
	11	-53.417272198406	-66.8641096056699	-26.9752467961871	-37.0086323063606	-32.8921777326987	41.6095736679181	40.211804166107	39.839443823902	-57.5630658360315	-67.2034353171521	-63.5928885999465	-52.877726619553	-45.8897189191957	-43.4341081737884	40.9880185536458	41.8379965462636	38.2522731300814	-50.7063267924941	-49.247392927713	-47.8033988566194	-55.0705951256386	-56.1117915680852	-27.0555994544784	-34.5752295663824	-38.868653390713	-40.4995621049675	-46.0284863783618	-43.2901743318243	-40.1330394803972	55.0097274203763	48.3088550503771	33.6849152341738	-18.9687392141232	-42.4333140444151	-36.3892109285753	52.6812428236608	44.1694882984857	54.9211687147235	-37.6910133846523	70.7843392436153	42.4537844223678	28.2601737288715	-25.5410534163921	67.2790333141929	40.8686868717587	44.5605522661872	42.7307498608625
	12	-62.2219444528519	-65.5299007705062	-39.2843532607394	-43.3597557996218	-31.9132745699699	30.2230317040612	23.1964966924543	27.1054875877089	-70.042578240229	-73.529309308944	-67.9157726370195	-54.0411109354336	-48.7746445306866	-50.4558331333164	27.9617304948451	29.5330644815449	28.1605074804038	-66.3321723446088	-58.4595397892981	-61.1557752907265	-56.9142153890289	-66.8479248574768	-37.0367034763967	-42.3332311839658	-46.2959791878575	-52.3867158174162	-54.5168496498191	-58.5713820914279	-50.4561640086249	41.8198568463531	35.8543632621277	22.4445815975523	-27.6457906768437	-55.1950655238397	-41.6534603565115	41.3304090464108	38.6073130922678	43.4241534408893	-48.5393216488737	48.95556442011	31.8860434658018	45.4292464230712	-37.7122754453858	46.0580418437949	33.9138059913275	31.6790737514666	39.0109780843877
